id,category,feature,decision,portability,maturity,source_repositories,source_commits,target_overlap,rationale,risks,evidence,evidence_urls
F-011,Persistent SSD-backed KV cache,Per-user cache namespace,REDESIGN,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,"ROCmFPX's current run directory is process-private, not tenant-addressed.",Use an authenticated tenant ID and opaque keyed hash in the path; never trust a request field as the authorization boundary.,"Path disclosure, user-supplied identity spoofing, and owner-wide file permissions.",E-061 | E-080 | E-081,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
F-012,Persistent SSD-backed KV cache,On-disk permission model,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX's existing disk cache uses owner-only namespaces and files.,Do not import CachyLlama's permission choices; keep ROCmFPX's 0700/0600 posture and add optional encryption for persistent multi-tenant use.,Prompts and hidden reasoning can be secrets.,E-041,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-013,Persistent SSD-backed KV cache,Direct final-name checkpoint writes,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,"ROCmFPX already uses temporary files, atomic rename, and directory synchronization.",Keep the target's commit protocol; persistent mode should add a manifest transaction rather than regress to direct publication.,Power loss can leave a final-name partial file.,E-034,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-014,Persistent SSD-backed KV cache,POSIX I/O compatibility shim,RETAIN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX supports cross-platform server builds and has its own filesystem code.,"Port only useful abstractions, preserving Windows UTF-8 and fault-injection behavior in the target.",A POSIX-named layer is not sufficient for Windows portability.,E-033,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
F-015,Persistent SSD-backed KV cache,Persistent index reconstruction,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX current entries exist only in process memory and are deleted on exit.,Use a checksummed manifest plus orphan reconciliation; bound startup cost and quarantine malformed entries.,Unbounded directory scans and corrupted metadata can delay startup.,E-031 | E-040,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-016,System-prompt caching,Cross-conversation system-state reuse,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has general prompt-prefix caching but no separately governed persistent system-prefix store.,"Implement as a scoped prefix-cache class in the target engine, keyed by model/template/tenant/system token sequence.",Cross-tenant leakage and false boundary detection are high-impact.,E-050 | E-052 | E-055,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-017,System-prompt caching,Restart persistence for system prefixes,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX's cache is run-scoped.,Use the same versioned persistent manifest and atomic commit layer as conversation checkpoints.,Startup memory cost scales with stored system entries because state blobs are loaded into RAM.,E-051,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-018,System-prompt caching,Entry-count and age retention,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already has byte-bounded LRU mechanics.,"Combine age, byte, and count limits; expose tenant and global quotas.",Wall-clock changes and large state variance require conservative accounting.,E-050 | E-053,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-019,System-prompt caching,Full-prompt hash plus bounded token prefix,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX can reuse its token vectors and target/draft validation.,Use a cryptographic or collision-resistant content key over canonical tokens and include template/model/tenant scope.,Hash collisions or tokenization drift must fail closed.,E-050 | E-052,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-020,System-prompt caching,Heuristic system-boundary detection,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX supports multiple chat templates and structured request conversion.,"Derive the boundary from the parsed message/template AST before tokenization, then verify the exact token range.",Heuristics can cache user content as a shared system prefix.,E-054,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-021,Prefix matching and session continuation,Longest-common-prefix candidate scoring,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already performs LCP matching for RAM and disk prompt cache entries.,Consolidate around the target implementation and add restart-persistent index candidates.,Minimum acceptance and exact state boundary rules must remain caller-specific.,E-035,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-022,Prefix matching and session continuation,High-threshold cross-conversation continuation,REDESIGN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX prompt caching already matches prefixes within the running server.,Make threshold configurable by scope; require authenticated tenant equality and a minimum absolute token count.,A ratio alone is unsafe for short prompts.,E-062,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-023,Prefix matching and session continuation,Global anonymous continuation scan,REDESIGN,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX does not retain cross-run directories.,Replace global scanning with a manifest/index partitioned by model and authenticated tenant; anonymous reuse should default to process-local only.,Cross-user data reuse and unbounded I/O.,E-036 | E-062,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-024,Prefix matching and session continuation,Minimum compared-token guard,RETAIN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX can apply this in its candidate filter.,"Use both minimum absolute tokens and ratio thresholds, with higher requirements for cross-conversation or cross-restart matches.",Fixed thresholds may be model/template dependent.,E-036,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-025,Prefix matching and session continuation,Slot prompt similarity,RETAIN,High,M3,fewtarius/CachyLLama | fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722 | 6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX inherits llama.cpp slot prompt reuse.,Keep target behavior; document interaction with persistent cache and user affinity.,Affinity and prefix reuse must be evaluated under one authorization-aware selection policy.,E-005 | E-023 | E-082,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-026,Prefix matching and session continuation,Read-ahead of likely continuation,RETAIN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,No target equivalent was identified.,Add only after persistence and candidate correctness are tested; instrument useful-prefetch ratio.,Can amplify SSD writes/reads and page-cache churn.,E-042 | E-062,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-027,Checkpoint restore and hybrid state,Periodic prefill checkpoints,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already has context checkpoint controls and prompt-cache saves.,Keep target checkpoint scheduling and integrate persistent snapshots as a separate policy.,Source and documentation disagree on the minimum/default step; very frequent snapshots can dominate I/O.,E-022 | E-023 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-028,Checkpoint restore and hybrid state,Deferred final checkpoint,RETAIN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has prompt-cache saves at task boundaries.,"Preserve the semantic boundary, but express it as an explicit checkpoint reason/state in the target.",Ordering bugs can persist a state that cannot resume generation correctly.,E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-029,Checkpoint restore and hybrid state,Target/draft/spec checkpoint restore,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already stores target/draft and stateful MTP records.,Merge semantics into the target's paired-state validation and exact-boundary rules.,A draft/spec mismatch must force safe catch-up or full prefill.,E-063 | E-067 | E-068,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
F-030,Checkpoint restore and hybrid state,Destination sequence-ID remapping,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940 | c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,The target uses per-slot sequence state APIs.,Keep explicit destination sequence IDs in every restore API and add a regression test based on the historical cold-restore fix.,Implicit source IDs can restore into the wrong sequence.,E-063 | E-068 | E-070,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h | https://github.com/fewtarius/CachyLLama/commit/c8ead677a7fe42fb0a67e6e866fb254cc338e9fd
F-031,Checkpoint restore and hybrid state,Hybrid attention-only cleanup,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX includes MTP and evolving recurrent/hybrid support.,Retain the primitive only if the target base does not already contain an equivalent; validate per architecture.,Incorrect partial clearing can silently corrupt recurrent continuation.,E-068 | E-069 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/src/llama-memory-hybrid.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-032,Checkpoint restore and hybrid state,Manual slot save/restore/erase,RETAIN,High,M3,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX inherits the slot-state API family.,"Keep the endpoint but enforce owner-only directories, API authorization, quotas, and audit logs.",Named files are an administrative surface separate from automatic cache persistence.,E-090 | E-091,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-033,Checkpoint restore and hybrid state,Cold-restore failure fallback,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX tests corruption and partial target/draft pairs.,Use the target's stricter file-size/pair validation and circuit-breaker semantics.,Fallback must clear any partially applied sequence state.,E-067 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-034,Checkpoint restore and hybrid state,In-memory prompt state cache,RETAIN,High,M3,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already has a byte-bounded RAM prompt cache.,Keep the target implementation as the first tier; persistent disk should be a lower tier.,"RAM accounting must include target, draft, and metadata.",E-022 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-035,Checkpoint restore and hybrid state,KV-shift cache reuse,RETAIN,Medium,M3,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already documents and carries cache-reuse behavior.,Retain target-native behavior; test interactions with loaded persistent state and hybrid memory.,Not all memory types support arbitrary shifting.,E-023 | E-024,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
F-036,Slot affinity and user isolation,OpenAI request user hint,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has OpenAI-compatible endpoints but no verified authenticated tenant cache scope.,Accept a user hint only behind a trusted gateway; bind an internal tenant principal from API-key/JWT context.,Client-supplied identity is spoofable.,E-081 | E-082 | E-087,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
F-037,Slot affinity and user isolation,Anthropic metadata user hint,RETAIN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX may retain Anthropic compatibility from its llama.cpp base.,"Keep protocol parsing as a hint, then map through the same authenticated principal layer as OpenAI requests.",Protocol parity must not create different authorization rules.,E-081 | E-087,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
F-038,Slot affinity and user isolation,User-ID validation,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX should validate any external label before logging or lookup.,Retain strict syntax validation but store a keyed hash/opaque internal ID instead of the raw value.,Validation prevents traversal but not identity spoofing.,E-080 | E-081,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
F-039,Slot affinity and user isolation,Per-user concurrent request cap,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has global slot limits but no assessed tenant quota.,"Implement one authoritative scheduler quota keyed by authenticated tenant, with atomic admission and release.",Pinned code duplicates checks at HTTP and allocator layers; races and accounting drift are possible.,E-022 | E-023 | E-082 | E-083 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-040,Slot affinity and user isolation,Anonymous-bucket concurrency policy,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX should not inherit the contradiction.,Define an explicit unauthenticated/global policy; production multi-tenant deployments should require authentication.,Anonymous traffic can consume all global slots.,E-080 | E-084 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-041,Slot affinity and user isolation,Same-user slot affinity,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already chooses slots using prompt similarity and availability.,"Combine authorization, user affinity, and prefix score in a single eligibility/ranking pass; never select cross-tenant state.",Separate selection passes can accidentally prioritize prefix reuse before isolation.,E-082 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-042,Slot affinity and user isolation,User-scoped persistent cache directories,REDESIGN,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,"ROCmFPX has private process directories, not persistent tenant namespaces.","Namespace by authenticated tenant hash and model fingerprint, with per-tenant owner/key policy.",Raw IDs in paths leak identity and allow spoofed cache access.,E-061 | E-080,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md
F-043,Slot affinity and user isolation,Per-user cache statistics,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has cache counters but no assessed per-tenant view.,Do not port the omission; define aggregate and tenant-scoped metrics with cardinality controls.,Operational dashboards would underreport persistent usage.,E-060 | E-064,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-044,Slot affinity and user isolation,Per-user tier aging on turn completion,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,No direct target equivalent.,Centralize all cache instances in one registry and iterate one lifecycle interface.,User entries can remain hot indefinitely or avoid intended eviction.,E-064,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-045,Slot affinity and user isolation,Raw user identifiers in logs,REJECT,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX logs are shared operational output.,"Log a stable keyed pseudonym, not raw identity; keep raw values out of metrics labels.",PII/secrets leakage and high-cardinality observability.,E-086,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-046,Slot affinity and user isolation,"Identity as routing metadata, not authentication",REDESIGN,High,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX supports API keys/TLS but needs explicit identity binding.,Resolve tenant identity in authenticated middleware and ignore/validate client hints according to gateway policy.,Using body metadata as a security boundary enables cache theft.,E-081 | E-087 | E-103,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
