repository,commit,path,kinds,evidence_ids,url
fewtarius/CachyLLama,c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,(commit),history,E-070,https://github.com/fewtarius/CachyLLama/commit/c8ead677a7fe42fb0a67e6e866fb254cc338e9fd
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,LICENSE,license,E-021,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/LICENSE
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,STRIX_HALO_NOTES.md,engineering-notes,E-110,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/STRIX_HALO_NOTES.md
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/CMakeLists.txt,source,E-025 | E-075,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/CMakeLists.txt
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,source,E-023 | E-103 | E-120 | E-122 | E-125 | E-126 | E-127 | E-128 | E-129 | E-131,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/common.h,source,E-022,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,source,E-031 | E-032 | E-034 | E-035 | E-036 | E-037 | E-038 | E-039 | E-041 | E-042,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,source,E-030 | E-040,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-posix.h,source,E-033,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,source,E-051 | E-052 | E-053 | E-054,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.h,source,E-050,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv_page_manager.cpp,source,E-073,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv_page_manager.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv_page_manager.h,source,E-072,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv_page_manager.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,docs/development/user-isolation-design.md,design,E-080,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ggml/src/ggml-cuda/gated_delta_net.cu,source,E-113,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/ggml/src/ggml-cuda/gated_delta_net.cu
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ggml/src/ggml-cuda/mmvq.cu,source,E-112,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/ggml/src/ggml-cuda/mmvq.cu
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ggml/src/ggml-cuda/vendors/hip.h,source,E-111,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/ggml/src/ggml-cuda/vendors/hip.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ggml/src/ggml-vulkan/ggml-vulkan.cpp,source,E-114 | E-115 | E-116,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/ggml/src/ggml-vulkan/ggml-vulkan.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,include/llama.h,source,E-068,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,src/llama-memory-hybrid.cpp,source,E-069,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/src/llama-memory-hybrid.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,test_kv_page_manager.cpp,source,E-074,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/test_kv_page_manager.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/CMakeLists.txt,source,E-026,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/CMakeLists.txt
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/README.md,documentation,E-024 | E-087,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,source,E-061 | E-062 | E-063 | E-064 | E-065,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.h,source,E-060,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.cpp,source,E-067,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.h,source,E-066,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,source,E-055 | E-071 | E-082 | E-083 | E-084 | E-085 | E-086 | E-091 | E-092 | E-101 | E-104,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-models.cpp,source,E-094 | E-095 | E-105 | E-106,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-stream.cpp,source,E-099,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-stream.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-stream.h,source,E-098,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-stream.h
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,source,E-081 | E-093,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,runtime-warning | source,E-090 | E-096 | E-097 | E-100 | E-102 | E-121 | E-123 | E-124 | E-130,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,(commit),commit,E-001,https://github.com/fewtarius/llama-ai/commit/1017f3dfdce3ca2b06aa9007b23295db3bb35722
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,.gitmodules,manifest,E-002,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/.gitmodules
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,AGENTS.md,documentation,E-014,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/AGENTS.md
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,LICENSE,license,E-003,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/LICENSE
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,README.md,documentation,E-004,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/README.md
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,source,E-005 | E-006 | E-007 | E-008 | E-009 | E-118,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/apply-ttm-kernel-params.sh,source,E-012,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/apply-ttm-kernel-params.sh
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/detect-gpu.sh,source,E-011 | E-117,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/detect-gpu.sh
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/rebuild.sh,source,E-010 | E-119,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/rebuild.sh
fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,systemd/llama-server.service,source,E-013,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/systemd/llama-server.service
