feature_id,feature,decision,evidence_id,repository,commit,path,locator,kind,url
F-004,Bounded chunk I/O,RETAIN,E-033,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-posix.h,POSIX open/pread/pwrite/fsync/fadvise wrappers,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
F-005,Optional fsync durability,REDESIGN,E-023,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,server cache and isolation argument registrations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
F-005,Optional fsync durability,REDESIGN,E-034,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"checkpoint store path, optional fsync, failure cleanup",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-006,Checkpoint compatibility fingerprint,RETAIN,E-038,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,compatibility hash check during load,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-006,Checkpoint compatibility fingerprint,RETAIN,E-040,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,format version and token-prefix metadata,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-006,Checkpoint compatibility fingerprint,RETAIN,E-060,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.h,server_context_page_manager API and wrapper maps,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h
F-007,Checkpoint token-prefix metadata,RETAIN,E-030,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,"kv_ssd_cache_config, metadata, stats, and public methods",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-007,Checkpoint token-prefix metadata,RETAIN,E-040,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,format version and token-prefix metadata,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-008,Cold checkpoint count limit,RETAIN,E-037,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"tier transition, on_turn_complete(), and cold-ring eviction",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-008,Cold checkpoint count limit,RETAIN,E-037,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"tier transition, on_turn_complete(), and cold-ring eviction",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-009,Automatic hot/warm RAM sizing,REDESIGN,E-039,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,automatic hot/warm RAM budget calculation,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-010,Platform read-ahead/prefetch,RETAIN,E-033,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-posix.h,POSIX open/pread/pwrite/fsync/fadvise wrappers,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
F-010,Platform read-ahead/prefetch,RETAIN,E-042,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,prefetch/read-ahead path,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-011,Per-user cache namespace,REDESIGN,E-061,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"get_or_create_cache(), anonymous and user namespace routing",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-011,Per-user cache namespace,REDESIGN,E-080,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,docs/development/user-isolation-design.md,"request mapping, namespace, validation, concurrency, precedence",design,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md
F-011,Per-user cache namespace,REDESIGN,E-081,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,request parsing and validate_user_id(),source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
F-012,On-disk permission model,REJECT,E-041,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,permissions used while creating cache directories and files,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-013,Direct final-name checkpoint writes,REJECT,E-034,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"checkpoint store path, optional fsync, failure cleanup",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-014,POSIX I/O compatibility shim,RETAIN,E-033,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-posix.h,POSIX open/pread/pwrite/fsync/fadvise wrappers,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
F-015,Persistent index reconstruction,REDESIGN,E-031,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"init(), directory scan, index load, and checkpoint reconstruction",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-015,Persistent index reconstruction,REDESIGN,E-040,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,format version and token-prefix metadata,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-016,Cross-conversation system-state reuse,REDESIGN,E-050,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.h,"kv_ssd_system_cache_config, entry metadata, public API",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h
F-016,Cross-conversation system-state reuse,REDESIGN,E-052,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,save/load keying and compatibility checks,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-016,Cross-conversation system-state reuse,REDESIGN,E-055,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,system cache initialization and lookup/store integration,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-017,Restart persistence for system prefixes,REDESIGN,E-051,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,init scan and sys-{hash}.bin load,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-018,Entry-count and age retention,RETAIN,E-050,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.h,"kv_ssd_system_cache_config, entry metadata, public API",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h
F-018,Entry-count and age retention,RETAIN,E-053,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,expiration and LRU enforcement,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-019,Full-prompt hash plus bounded token prefix,RETAIN,E-050,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.h,"kv_ssd_system_cache_config, entry metadata, public API",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h
F-019,Full-prompt hash plus bounded token prefix,RETAIN,E-052,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,save/load keying and compatibility checks,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-020,Heuristic system-boundary detection,REJECT,E-054,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,detect_system_prompt_boundary() token-text heuristic,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
F-021,Longest-common-prefix candidate scoring,RETAIN,E-035,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,find_match() longest-common-prefix ranking,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-022,High-threshold cross-conversation continuation,REDESIGN,E-062,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,find_continuation_match() and 0.90 threshold,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-023,Global anonymous continuation scan,REDESIGN,E-036,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,find_continuation() and global directory scanner,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-023,Global anonymous continuation scan,REDESIGN,E-062,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,find_continuation_match() and 0.90 threshold,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-024,Minimum compared-token guard,RETAIN,E-036,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,find_continuation() and global directory scanner,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-025,Slot prompt similarity,RETAIN,E-005,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,default variables and command assembly,source,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
F-025,Slot prompt similarity,RETAIN,E-023,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,server cache and isolation argument registrations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
F-025,Slot prompt similarity,RETAIN,E-082,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot allocator per-user cap check and same-user affinity,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-026,Read-ahead of likely continuation,RETAIN,E-042,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,prefetch/read-ahead path,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-026,Read-ahead of likely continuation,RETAIN,E-062,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,find_continuation_match() and 0.90 threshold,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-027,Periodic prefill checkpoints,RETAIN,E-022,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/common.h,common_params server/cache fields,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h
F-027,Periodic prefill checkpoints,RETAIN,E-023,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,server cache and isolation argument registrations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
F-027,Periodic prefill checkpoints,RETAIN,E-071,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot fields and persistent-cache restore/store call sites,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-028,Deferred final checkpoint,RETAIN,E-071,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot fields and persistent-cache restore/store call sites,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-029,Target/draft/spec checkpoint restore,RETAIN,E-063,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"store_checkpoint/load_checkpoint target, draft, and spec state",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-029,Target/draft/spec checkpoint restore,RETAIN,E-067,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.cpp,"save/restore target, draft, and speculative components",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp
F-029,Target/draft/spec checkpoint restore,RETAIN,E-068,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,include/llama.h,llama_state_seq_*_ext and llama_memory_seq_rm_attn_only declarations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
F-030,Destination sequence-ID remapping,RETAIN,E-063,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"store_checkpoint/load_checkpoint target, draft, and spec state",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-030,Destination sequence-ID remapping,RETAIN,E-068,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,include/llama.h,llama_state_seq_*_ext and llama_memory_seq_rm_attn_only declarations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
F-030,Destination sequence-ID remapping,RETAIN,E-070,fewtarius/CachyLLama,c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,(commit),cold continuation destination-sequence fix,history,https://github.com/fewtarius/CachyLLama/commit/c8ead677a7fe42fb0a67e6e866fb254cc338e9fd
F-031,Hybrid attention-only cleanup,RETAIN,E-068,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,include/llama.h,llama_state_seq_*_ext and llama_memory_seq_rm_attn_only declarations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
F-031,Hybrid attention-only cleanup,RETAIN,E-069,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,src/llama-memory-hybrid.cpp,attention-only sequence removal implementation,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/src/llama-memory-hybrid.cpp
F-031,Hybrid attention-only cleanup,RETAIN,E-071,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot fields and persistent-cache restore/store call sites,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-032,Manual slot save/restore/erase,RETAIN,E-090,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,HTTP route registrations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
F-032,Manual slot save/restore/erase,RETAIN,E-091,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,post_slots route and save/restore/erase handlers,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-033,Cold-restore failure fallback,RETAIN,E-067,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.cpp,"save/restore target, draft, and speculative components",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp
F-033,Cold-restore failure fallback,RETAIN,E-071,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot fields and persistent-cache restore/store call sites,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-034,In-memory prompt state cache,RETAIN,E-022,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/common.h,common_params server/cache fields,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h
F-034,In-memory prompt state cache,RETAIN,E-071,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot fields and persistent-cache restore/store call sites,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-035,KV-shift cache reuse,RETAIN,E-023,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,server cache and isolation argument registrations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
F-035,KV-shift cache reuse,RETAIN,E-024,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/README.md,server-specific parameters and user-isolation section,documentation,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
F-036,OpenAI request user hint,REDESIGN,E-081,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,request parsing and validate_user_id(),source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
F-036,OpenAI request user hint,REDESIGN,E-082,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot allocator per-user cap check and same-user affinity,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-036,OpenAI request user hint,REDESIGN,E-087,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/README.md,llama_user_id and Anthropic metadata.user_id examples,documentation,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
F-037,Anthropic metadata user hint,RETAIN,E-081,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,request parsing and validate_user_id(),source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
F-037,Anthropic metadata user hint,RETAIN,E-087,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/README.md,llama_user_id and Anthropic metadata.user_id examples,documentation,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
F-038,User-ID validation,RETAIN,E-080,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,docs/development/user-isolation-design.md,"request mapping, namespace, validation, concurrency, precedence",design,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md
F-038,User-ID validation,RETAIN,E-081,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,request parsing and validate_user_id(),source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
F-039,Per-user concurrent request cap,REDESIGN,E-022,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/common.h,common_params server/cache fields,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h
F-039,Per-user concurrent request cap,REDESIGN,E-023,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,server cache and isolation argument registrations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
F-039,Per-user concurrent request cap,REDESIGN,E-082,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot allocator per-user cap check and same-user affinity,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-039,Per-user concurrent request cap,REDESIGN,E-083,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,HTTP admission check for max_concurrent_per_user,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-039,Per-user concurrent request cap,REDESIGN,E-085,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,active-user increment/decrement and slot release,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-040,Anonymous-bucket concurrency policy,REJECT,E-080,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,docs/development/user-isolation-design.md,"request mapping, namespace, validation, concurrency, precedence",design,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md
F-040,Anonymous-bucket concurrency policy,REJECT,E-084,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,comment and conditional excluding empty user IDs,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-040,Anonymous-bucket concurrency policy,REJECT,E-085,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,active-user increment/decrement and slot release,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-041,Same-user slot affinity,REDESIGN,E-082,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot allocator per-user cap check and same-user affinity,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-041,Same-user slot affinity,REDESIGN,E-085,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,active-user increment/decrement and slot release,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
F-042,User-scoped persistent cache directories,REDESIGN,E-061,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"get_or_create_cache(), anonymous and user namespace routing",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
