claim_id,label,claim,scope,evidence_ids,applicability,machine_evidence,confidence
C044,[UPSTREAM_TEST],"Active timeout tests cover specific timeout-producing paths, not a universal stock-Socket collective deadline.",active tests,TEST-ACTIVE-TIMEOUT,Failure harness needs its own wall-clock watchdog and async polling.,Yes,high
C045,[INFERENCE],"Relevant failure tests include pre-init refusal, wrong interface, peer kill, established-link loss, interface removal, delayed peer, abort, and fresh communicator creation.",experiment,SRC-ACTIVE-INTERFACE; DOC-ACTIVE-FAULT; TEST-MPI-FRAMEWORK,Maps source-defined semantics to observable assertions.,Yes,high
C046,[NORMATIVE_API],"AllReduce, AllGather, ReduceScatter, Broadcast, and Send/Recv are relevant primitives for two-way tensor parallelism.",application,SRC-ACTIVE-API; TEST-RCCL-TESTS-MPI,They can carry synchronization and partition exchanges.,End-to-end test required,high
C047,[INFERENCE],"RCCL does not decide tensor partitions, shard weights, schedule graph execution, or manage model state.",application,SRC-ACTIVE-API,A framework/runtime adapter remains necessary.,Yes,high
C048,[INFERENCE],Custom ggml RPC is an application-level remote execution/tensor protocol and is not equivalent to an RCCL collective transport.,application,SRC-ACTIVE-API,Compare as a distinct execution architecture.,Yes,high
C049,[INFERENCE],"Pipeline/layer split is a model scheduling strategy; RCCL Send/Recv may be a primitive but does not supply the scheduler, backpressure policy, or layer ownership.",application,SRC-ACTIVE-API,Compare separately from tensor-parallel collectives.,Yes,high
C050,[INFERENCE],"A custom USB4STREAM transport is not required merely to test IP-over-USB4: stock Socket is the proper baseline. It becomes relevant for non-IP, zero-copy/direct, or unmet performance goals.",decision,SRC-ACTIVE-SOCKET; SRC-ACTIVE-PLUGIN-V12,Phase 2 custom work should be evidence-triggered.,Yes,high
C051,[INFERENCE],"RCCL belongs in the local experiment matrix as a gated research candidate and socket baseline, not as accepted support for the pair.",decision,C004-C050,Unblocks low-cost bring-up without asserting suitability.,Yes,high
C052,[MACHINE_EVIDENCE_REQUIRED],"Only two-node measurements on the exact hosts, ROCm packages, kernel, interface, and cabling can establish actual suitability.",decision,all evidence,"The audit defines mechanisms and tests, not final platform suitability.",Yes,high
C053,[COMMUNITY_REPORTED_MACHINE_EVIDENCE],"Unmerged PR #2075 reports two-node Strix Halo collective and vLLM tensor-parallel results, but it is community evidence and its DMA-BUF setting does not identify the actual transport data path.",community evidence,PR-2075; SRC-STABLE-SOCKET; SRC-STABLE-DMABUF,Useful hypothesis generator; not normative support.,Independent reproduction required,medium
C054,[MACHINE_EVIDENCE_REQUIRED],This audit does not claim RCCL works on the target APU pair or provides GPU-direct over USB4.,decision,C010-C017; C052,Explicit support boundary.,Yes,high
