claim_id,literal_label,class,status,topic,claim_text,source_or_basis,qualification_or_note
PFIR07-C027,[CLAIM:PFIR07-C027][CLASS:INFERENCE][STATUS:SUPPORTED][SRC:SYSTEMD-CRYPTTAB-261.1 TPM2 option; principal model],INFERENCE,SUPPORTED,Principal binding,"TPM2-bound unlock proves platform or policy state according to enrollment, not HaloKV tenant/project authority; principal binding remains an application control.",SYSTEMD-CRYPTTAB-261.1 TPM2 option; principal model,Human authority mapping remains open.
PFIR07-C028,[CLAIM:PFIR07-C028][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-KEYS-7.2RC3 §Keyrings],SOURCE,SUPPORTED,Key storage,"Linux thread, process, session, user, and persistent keyrings have different possession and lifetime semantics; logon-type keys are not readable through normal userspace key-read APIs.",LINUX-KEYS-7.2RC3 §Keyrings,Kernel retention still requires lifecycle control.
PFIR07-C029,[CLAIM:PFIR07-C029][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-KEYS-7.2RC3 §Revocation],SOURCE,SUPPORTED,Revocation,Kernel key revocation marks a key unusable for future operations but does not prove erasure of every derived or copied key.,LINUX-KEYS-7.2RC3 §Revocation,Derived keys and active mappings are separate.
PFIR07-C030,"[CLAIM:PFIR07-C030][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-38D §§5.2,7]",SOURCE,SUPPORTED,AEAD,GCM authenticates additional data without encrypting it and authenticated decryption returns plaintext or FAIL.,"NIST-SP800-38D §§5.2,7",Foundation for fail-closed object handling.
PFIR07-C031,[CLAIM:PFIR07-C031][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-38D §8],SOURCE,SUPPORTED,Nonce,GCM IV uniqueness is a critical per-key requirement; reuse can compromise security.,NIST-SP800-38D §8,Hard requirement.
PFIR07-C032,[CLAIM:PFIR07-C032][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-38D §8.3],SOURCE,SUPPORTED,Nonce,"For the RBG-based GCM IV construction, the total invocations under a given key and supported IV length are bounded by 2^32.",NIST-SP800-38D §8.3,Use stricter local limits where appropriate.
PFIR07-C033,[CLAIM:PFIR07-C033][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-38D §8.2.1],SOURCE,SUPPORTED,Crash recovery,A deterministic IV construction requires invocation-state preservation across power loss; inability to establish uniqueness requires a new key domain.,NIST-SP800-38D §8.2.1,Epoch rollover is safer than guessing.
PFIR07-C034,[CLAIM:PFIR07-C034][CLASS:SOURCE][STATUS:SUPPORTED][SRC:RFC5116 §§2-3],SOURCE,SUPPORTED,AEAD,An AEAD interface binds plaintext and associated data and returns an error on authentication failure.,RFC5116 §§2-3,Protocol-level framing reference.
PFIR07-C035,[CLAIM:PFIR07-C035][CLASS:SOURCE][STATUS:SUPPORTED][SRC:RFC8439 §2.8],SOURCE,SUPPORTED,Nonce,IETF ChaCha20-Poly1305 uses a 96-bit nonce that must be unique for each invocation with the same key.,RFC8439 §2.8,Alternative AEAD suite.
PFIR07-C036,"[CLAIM:PFIR07-C036][CLASS:SOURCE][STATUS:SUPPORTED][SRC:RFC8452 §§3,9]",SOURCE,SUPPORTED,AEAD,"AES-GCM-SIV provides nonce-misuse resistance with explicit usage limits, but it does not make deliberate or unlimited nonce reuse acceptable.","RFC8452 §§3,9","Optional suite, not permission to ignore nonce state."
PFIR07-C037,[CLAIM:PFIR07-C037][CLASS:SOURCE][STATUS:SUPPORTED][SRC:RFC5869 §§2-3],SOURCE,SUPPORTED,KDF,HKDF uses extract-and-expand stages and an application-specific info field for context separation.,RFC5869 §§2-3,Suitable where HKDF is an approved implementation choice.
PFIR07-C038,[CLAIM:PFIR07-C038][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-108R1U1 §§4-5],SOURCE,SUPPORTED,KDF,SP 800-108 KDF constructions include Label and Context inputs intended to separate derived-key purposes and parties.,NIST-SP800-108R1U1 §§4-5,Encode canonical hierarchy context.
PFIR07-C039,[CLAIM:PFIR07-C039][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-38E §1],SOURCE,SUPPORTED,Block encryption,XTS-AES is a confidentiality mode for storage devices and does not provide authentication.,NIST-SP800-38E §1,Do not treat default LUKS XTS as integrity protection.
PFIR07-C040,[CLAIM:PFIR07-C040][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-57P1R5 §7],SOURCE,SUPPORTED,Key lifecycle,"Cryptographic keys move through defined lifecycle states, including pre-activation, active, deactivated, compromised, and destroyed states.",NIST-SP800-57P1R5 §7,HaloKV epochs map to explicit state transitions.
PFIR07-C041,"[CLAIM:PFIR07-C041][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-88R2 §§2,5,7]",SOURCE,SUPPORTED,Deletion,"Logical deletion, overwrite commands, or discard are not automatically equivalent to verified media sanitization or cryptographic erase.","NIST-SP800-88R2 §§2,5,7",Technique must match media and policy.
PFIR07-C042,[CLAIM:PFIR07-C042][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-88R2 §5.4],SOURCE,SUPPORTED,Cryptographic erase,"Cryptographic erase depends on rendering all relevant target-data encryption keys inaccessible, including copies, escrow, and hierarchical dependencies.",NIST-SP800-88R2 §5.4,Scope is key-copy complete.
PFIR07-C043,[CLAIM:PFIR07-C043][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-88R2 §5.4],SOURCE,SUPPORTED,Memory retention,"Keys or plaintext may persist in volatile memory, processor registers, caches, or supporting systems and require separate handling.",NIST-SP800-88R2 §5.4,CE is not a universal memory wipe.
PFIR07-C044,[CLAIM:PFIR07-C044][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-88R2 §§6-7],SOURCE,SUPPORTED,Media sanitization,"A sanitization program includes verification, validation, and documentation rather than relying only on command success.",NIST-SP800-88R2 §§6-7,Evidence trail is part of the procedure.
PFIR07-C045,[CLAIM:PFIR07-C045][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-111 §§2-4],SOURCE,SUPPORTED,Option boundary,"Storage encryption technologies protect different layers and threat boundaries; full-disk, volume, file/folder, and virtual-disk controls are not interchangeable.",NIST-SP800-111 §§2-4,Use layered control selection.
PFIR07-C046,[CLAIM:PFIR07-C046][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-SP800-133R2],SOURCE,SUPPORTED,Key generation,Cryptographic keys must be generated with approved random-bit-generation processes and sufficient strength for their intended algorithms.,NIST-SP800-133R2,No human-chosen data keys.
PFIR07-C047,[CLAIM:PFIR07-C047][CLASS:SOURCE][STATUS:SUPPORTED][SRC:NIST-FIPS198-1; RFC2104],SOURCE,SUPPORTED,Identifiers,HMAC is a keyed message-authentication construction suitable for scoped identifiers and manifest authentication when instantiated correctly.,NIST-FIPS198-1; RFC2104,Keyed identifier use is a synthesis decision.
PFIR07-C048,[CLAIM:PFIR07-C048][CLASS:SOURCE][STATUS:SUPPORTED][SRC:RFC9106 §4],SOURCE,SUPPORTED,Human credentials,Argon2id is the primary Argon2 variant recommended by RFC 9106 for password hashing under its stated parameter profiles.,RFC9106 §4,Use only when human memorized secrets are unavoidable.
PFIR07-C049,[CLAIM:PFIR07-C049][CLASS:SOURCE][STATUS:SUPPORTED][SRC:RFC8949 §4.2],SOURCE,SUPPORTED,Canonicalization,Deterministically encoded CBOR requires defined canonicalization choices so semantically identical data produces the same encoding.,RFC8949 §4.2,Needed for stable AAD and identifiers.
PFIR07-C050,"[CLAIM:PFIR07-C050][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C002-C004,C009,C030-C035,C045]",SYNTHESIS,RECOMMENDED,Decision,Object-level AEAD is mandatory for the minimum multi-user HaloKV persistent-cache profile; fscrypt and LUKS are defense-in-depth rather than substitutes.,"C002-C004,C009,C030-C035,C045",Standards-backed synthesis.
PFIR07-C051,"[CLAIM:PFIR07-C051][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C004,C009-C012,C027,C039]",SYNTHESIS,RECOMMENDED,Threat boundary,"An unlocked LUKS volume is a host storage boundary, and fscrypt is a filesystem key-domain boundary; neither natively authenticates HaloKV tenant, project, prefix, rank, or object semantics.","C004,C009-C012,C027,C039",Principal binding belongs in object AAD and authorization.
PFIR07-C052,"[CLAIM:PFIR07-C052][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C047,C056,C061-C062]",SYNTHESIS,RECOMMENDED,Deduplication,Private content-addressed deduplication must be scoped no wider than the authorized tenant/project sharing domain.,"C047,C056,C061-C062",Human-approved sharing policy sets the boundary.
PFIR07-C053,"[CLAIM:PFIR07-C053][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C027,C052]",SYNTHESIS,RECOMMENDED,System prefix,"Public or system-prefix objects require a separate authority-owned namespace, signing/key policy, publication workflow, and read-only tenant consumption path.","C027,C052",Never silently promote private tenant objects into a global pool.
PFIR07-C054,"[CLAIM:PFIR07-C054][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C037-C040,C046]",SYNTHESIS,RECOMMENDED,Key hierarchy,"Derive or wrap purpose-separated keys through canonical tenant/project/prefix/namespace/rank/epoch contexts, with separate encryption, identifier, manifest, and audit purposes.","C037-C040,C046",Prevents cross-purpose and cross-domain key reuse.
PFIR07-C055,"[CLAIM:PFIR07-C055][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C031-C033,C035-C036]",SYNTHESIS,RECOMMENDED,Peer separation,"Each rank receives a separate AEAD key domain per epoch, or an equivalently rigorous nonce partition; uncertain nonce state forces a new epoch.","C031-C033,C035-C036",Simplifies local crash recovery and blast radius.
PFIR07-C056,"[CLAIM:PFIR07-C056][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C047,C052]",SYNTHESIS,RECOMMENDED,Privacy identifiers,Use HMAC-SHA-256 or another reviewed PRF under a scope-specific identifier key for private content identifiers; do not expose a global raw plaintext digest.,"C047,C052",Still leaks equality within the authorized scope.
PFIR07-C057,"[CLAIM:PFIR07-C057][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C030,C034,C038,C049]",SYNTHESIS,RECOMMENDED,AAD,"Canonical AEAD associated data binds format version, suite, key epoch, authority, principal scope, prefix, namespace, sharing class, rank, object type, codec, sizes, chunk position, identifier, and manifest generation.","C030,C034,C038,C049",AAD fields remain visible unless separately encrypted.
PFIR07-C058,"[CLAIM:PFIR07-C058][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C003,C016,C030,C034]",SYNTHESIS,REQUIRED,Invariant,"Any unknown, malformed, corrupt, unauthenticated, wrong-key, wrong-principal, wrong-rank, stale, or mismatched cache object produces one external result: MISS_RECOMPUTE.","C003,C016,C030,C034",No plaintext fallback or partial accept path.
PFIR07-C059,"[CLAIM:PFIR07-C059][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C030,C034]",SYNTHESIS,REQUIRED,Parser safety,"Authenticate the complete envelope and required AAD before decompression, deserialization, digest trust, manifest traversal, or exposure to a consumer.","C030,C034",Length limits are checked before allocation; authenticity before semantic use.
PFIR07-C060,[CLAIM:PFIR07-C060][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C030-C036],SYNTHESIS,RECOMMENDED,Replay,"AEAD authenticity alone does not prevent replay of an older valid object; enforce trusted epoch floors, manifest generations, or monotonic state where freshness matters.",C030-C036,Freshness is a separate control.
PFIR07-C061,[CLAIM:PFIR07-C061][CLASS:SYNTHESIS][STATUS:SUPPORTED][SRC:C030-C036],SYNTHESIS,SUPPORTED,Deduplication,Randomized AEAD ciphertext is not a stable cross-write deduplication key; deduplication should operate on a scoped authenticated identifier and then store one authorized ciphertext representation.,C030-C036,Do not deduplicate by global ciphertext equality.
PFIR07-C062,"[CLAIM:PFIR07-C062][CLASS:SYNTHESIS][STATUS:RESIDUAL-RISK][SRC:C002,C011,C015,C056-C061]",SYNTHESIS,RESIDUAL-RISK,Side channels,"Encryption does not hide all sizes, access patterns, timing, allocation changes, or within-scope equality; cross-tenant timing isolation requires scheduling and lookup controls beyond cryptography.","C002,C011,C015,C056-C061",Residual risk remains.
PFIR07-C063,"[CLAIM:PFIR07-C063][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C030,C034,C058-C059]",SYNTHESIS,REQUIRED,Failure handling,"On any cryptographic or format failure, delete or quarantine the suspect cache entry and recompute through the authoritative pipeline; never fall back to unauthenticated cached plaintext.","C030,C034,C058-C059",Availability impact is accepted over unsafe reuse.
PFIR07-C064,"[CLAIM:PFIR07-C064][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C013-C014,C040-C044]",SYNTHESIS,RECOMMENDED,Backup,"Do not back up regenerable cache content by default. If backup is required, treat ciphertext, manifests, format metadata, wrapped keys, header backups, and epoch state as one coherent protected set.","C013-C014,C040-C044",Backup policy is a human decision.
PFIR07-C065,"[CLAIM:PFIR07-C065][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C013-C014,C058-C060,C064]",SYNTHESIS,REQUIRED,Restore,"Restore into a non-serving quarantine namespace, validate format and policy, unwrap only authorized epochs, authenticate every object or sample according to declared policy, and publish atomically only after acceptance.","C013-C014,C058-C060,C064",No direct restore into live lookup path.
PFIR07-C066,"[CLAIM:PFIR07-C066][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C030,C034,C052-C057]",SYNTHESIS,REQUIRED,Export,"Export decrypts only after authorization and authentication, then re-encrypts under an explicit destination authority and sharing scope; copying source ciphertext does not transfer principal authority.","C030,C034,C052-C057",Export is a new cryptographic context.
PFIR07-C067,[CLAIM:PFIR07-C067][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C041-C044],SYNTHESIS,REQUIRED,Deletion,"Logical deletion removes indexes, manifests, serving references, and scheduled storage objects, but must not be described as physical sanitization or immediate byte erasure.",C041-C044,Record tombstone and retention effects.
PFIR07-C068,"[CLAIM:PFIR07-C068][CLASS:SYNTHESIS][STATUS:CONDITIONAL][SRC:C042-C044,C054]",SYNTHESIS,CONDITIONAL,Cryptographic erase,Per-object cryptographic erasure is supportable only when the object has an independently destroyable DEK or key-wrapping record and every usable copy and backup dependency is rendered inaccessible.,"C042-C044,C054",Shared epoch keys usually make erasure scope larger than one object.
PFIR07-C069,"[CLAIM:PFIR07-C069][CLASS:SYNTHESIS][STATUS:RECOMMENDED][SRC:C015,C041-C044]",SYNTHESIS,RECOMMENDED,Discard,Keep discard disabled unless a documented performance decision accepts allocation leakage; enabling discard does not create a secure-deletion guarantee.,"C015,C041-C044",Separate performance and sanitization decisions.
PFIR07-C070,"[CLAIM:PFIR07-C070][CLASS:SYNTHESIS][STATUS:REQUIRED][SRC:C031-C033,C040,C058-C065]",SYNTHESIS,REQUIRED,Incident response,"Following suspected key or nonce compromise, stop writes, establish a new epoch, revoke authorization, drain active users, invalidate affected manifests, quarantine suspect objects, and recompute or re-encrypt from trusted inputs.","C031-C033,C040,C058-C065","Old ciphertext remains evidence, not serving data."
PFIR07-C071,"[CLAIM:PFIR07-C071][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C003,C009]",UNSUPPORTED,REJECTED,Unsupported claim,Unsupported claim: fscrypt alone authenticates HaloKV objects or detects all offline tampering.,"C003,C009",False for selected boundary.
PFIR07-C072,"[CLAIM:PFIR07-C072][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C011-C012,C039]",UNSUPPORTED,REJECTED,Unsupported claim,Unsupported claim: ordinary LUKS2/dm-crypt XTS provides per-object authenticity or tenant binding.,"C011-C012,C039",Confidentiality boundary only.
PFIR07-C073,[CLAIM:PFIR07-C073][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C041-C044],UNSUPPORTED,REJECTED,Unsupported claim,"Unsupported claim: unlink, overwrite, TRIM, discard, or filesystem free-space release is automatically secure deletion.",C041-C044,Media-dependent and unverified.
PFIR07-C074,"[CLAIM:PFIR07-C074][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C005-C007,C019-C020,C026,C029]",UNSUPPORTED,REJECTED,Unsupported claim,"Unsupported claim: key revocation instantly removes access from open files, active mappings, kernel keyrings, or processes.","C005-C007,C019-C020,C026,C029",Drain and memory lifecycle required.
PFIR07-C075,"[CLAIM:PFIR07-C075][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C004,C045]",UNSUPPORTED,REJECTED,Unsupported claim,"Unsupported claim: at-rest encryption protects plaintext from a compromised root account, kernel, hypervisor, DMA-capable actor, or authorized live process.","C004,C045",Outside selected control boundary.
PFIR07-C076,[CLAIM:PFIR07-C076][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C060],UNSUPPORTED,REJECTED,Unsupported claim,Unsupported claim: AEAD authentication by itself prevents rollback or replay of an older valid object.,C060,Freshness state is separate.
PFIR07-C077,"[CLAIM:PFIR07-C077][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C056,C062]",UNSUPPORTED,REJECTED,Unsupported claim,"Unsupported claim: keyed content identifiers eliminate access-pattern, size, timing, or within-scope equality leakage.","C056,C062",They reduce public digest exposure only.
PFIR07-C078,"[CLAIM:PFIR07-C078][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C052,C062]",UNSUPPORTED,REJECTED,Unsupported claim,Unsupported claim: cross-tenant global deduplication is privacy-neutral merely because payloads are encrypted.,"C052,C062",Lookup and timing can form confirmation oracles.
PFIR07-C079,[CLAIM:PFIR07-C079][CLASS:UNSUPPORTED][STATUS:REJECTED][SRC:C041-C044],UNSUPPORTED,REJECTED,Unsupported claim,Unsupported claim: cryptographic erase is physical zeroization or proves all remanent media states are unrecoverable.,C041-C044,CE is key inaccessibility under stated assumptions.
