risk_id,residual_risk,affected_decision,impact,likelihood,control_or_treatment,owner_decision,claim_basis
RR14,LUKS header backups or detached headers provide alternate unlock paths.,Backup/erasure,High,Operationally common,"Inventory, encrypt separately, access-control, rotate/destroy coherently, test restoration under change control.",Retain or prohibit header backups.,"PFIR07-C014,C021,C082"
RR15,"Backup KMS replicas, escrow, snapshots, and offline copies can outlive logical deletion.",Backup/deletion,High,Policy-dependent,"Retention ledger, deletion propagation, legal holds, backup expiry, key-copy inventory.",Define retention and legal-hold policy.,"PFIR07-C042,C064,C067"
RR16,Restoring old ciphertext plus still-valid old keys can resurrect deleted or revoked content.,Restore,High,Process-dependent,"Quarantine restore, trusted epoch floor, tombstone ledger, rewrap/re-encrypt into current context.",Define restore authorization and rollback window.,"PFIR07-C060,C065"
RR17,"dm-integrity authenticated modes add performance, recovery, and maturity complexity.",Block integrity,Medium/High,Deployment-dependent,"Prototype, benchmark, fault-inject, pin versions/configuration, keep object AEAD regardless.",Decide whether block integrity is worth operational cost.,"PFIR07-C012,C016-C018"
RR18,Discard pass-through leaks allocation and does not prove sanitization.,Discard,Medium,Expected when enabled,Default off; document exception; do not use as erasure evidence.,Approve performance exception.,"PFIR07-C015,C069,C083"
RR19,"Sanitize commands may not reach remapped, failed, over-provisioned, or provider-controlled media.",Physical sanitization,High,Media/provider-dependent,Use media-specific procedure and authoritative vendor/provider capability; verify/validate; destroy where required.,Select purge/destroy method and acceptance evidence.,"PFIR07-C041-C044,C083"
RR20,A cloud or storage provider may not expose evidence sufficient to validate media sanitization.,Hosted media,High,Provider-dependent,"Contractual controls, provider attestations/evidence, encryption key control, data-lifecycle audit.",Accept provider assurance model or avoid persistent cache there.,PFIR07-C044
RR21,"Different implementations may canonicalize AAD, identifiers, or manifests differently.",Interoperability,High,Implementation-dependent,"Versioned deterministic encoding, test vectors, reject duplicate/unknown critical fields, cross-language conformance.",Approve canonical format and compatibility policy.,"PFIR07-C049,C057"
RR22,Quarantine storage can become an alternate serving path or retain sensitive evidence indefinitely.,Quarantine,Medium/High,Process-dependent,"Separate credentials/path, no cache lookup integration, retention cap, access logging, incident hold workflow.",Set evidence retention and access authority.,"PFIR07-C063,C065,C070"
RR23,Detailed cryptographic error logs can become a tenant oracle or leak key/identifier material.,Telemetry,Medium,Implementation-dependent,Opaque external miss; access-controlled internal reason code; redact secrets; aggregate metrics; rate limit.,Set logging retention and analyst access.,"PFIR07-C058,C062"
RR24,A compromised public/system publisher can distribute semantically malicious but cryptographically valid content.,Public/system prefix,High,Authority-dependent,"Two-person publication, reproducible generation, signed immutable manifests, rollback and emergency revoke.",Select publisher authority and review process.,PFIR07-C053
RR25,Strict fail-closed behavior can amplify denial-of-service through repeated misses and recomputation.,Availability,Medium/High,Threat/load-dependent,"Per-principal quotas, backoff, duplicate recompute suppression, circuit breakers, protected authoritative source.",Set availability and abuse-control budget.,"PFIR07-C058,C063"
