source_id,source_class,claim_label,repository_or_site,upstream_path_or_url,upstream_ref,upstream_object_sha,upstream_locator,accessed_at,snapshot_kind,completeness,license,local_path,local_sha256
SRC-STABLE-PLUGIN-LOADER,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,src/plugin/net.cc,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,321cd74da7fd7ebdb85004ac3b259016dd9c254d,"loader version probe, library selection, fallback order, provider assignment",2026-07-18,structured selected source excerpt preserving literal identifiers,selected relevant excerpts; not full file,RCCL LICENSE.txt,evidence/source/stable/plugin_loader.cc.excerpt,a237e277d9b06998a2b2ad43a746fddff0a0b01ac08d5c4d49d2cd80588ee913
SRC-STABLE-REGISTER,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,src/register/register.cc,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,d49b159cbb23e033278d59c54664eebbb167c517,lines 21-24 and 136-164,2026-07-18,verbatim selected excerpts,selected relevant excerpts; not full file,RCCL LICENSE.txt,evidence/source/stable/register.cc.excerpt,955b0b63e290e19bb57a56f1baba535be59eda79d3e0e774b6cc9cf567e66b1f
SRC-STABLE-DMABUF,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,src/misc/rocmwrap.cc,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,9f23fe95f952c0f1de6b106e8e12d4e0c96165a5,"DMA-BUF parameters, ROCr capability checks, kernel prerequisites",2026-07-18,structured selected source excerpt preserving literal identifiers,selected relevant excerpts; not full file,RCCL LICENSE.txt,evidence/source/stable/rocmwrap_dmabuf.cc.excerpt,345493c58c2d15d50b45652335ef1f351558b8ad71c0fe0130c3883d6f761b03
SRC-ACTIVE-API,source,[NORMATIVE_API],ROCm/rocm-systems,projects/rccl/src/nccl.h.in,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,4e93c73d15cb294e5f22016e0d31f39073d8926e,"result codes, communicator config, init, abort, revoke, shrink, grow, async error",2026-07-18,structured selected API excerpt preserving declarations and literal identifiers,selected API declarations and normative comments; not full header,Apache-2.0 (per-file SPDX),evidence/source/active/public_api.h.excerpt,be36cf9409b050905ef3defc9d4022f668411260269ea4a333c08962cbcf42a8
SRC-STABLE-API,source,[NORMATIVE_API],ROCm/rccl,src/nccl.h.in,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,88c4c2434470a958904698dae4530f9fdd588c7c,result codes and communicator API,2026-07-18,structured selected API excerpt preserving declarations and literal identifiers,selected API declarations and comments; not full header,RCCL LICENSE.txt,evidence/source/stable/public_api.h.excerpt,9006837397d45d6138f9cf49e5f2a54efd40d419daa613d069f580e6b3efd4ad
DOC-ACTIVE-FAULT,documentation,[NORMATIVE_DOC],ROCm/rocm-systems,projects/rccl/docs/how-to/fault-tolerance.rst,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,4cdd5a668e693bc2ffc03056c00de13e61ae87a8,selected substantive sections,2026-07-18,structured relevant documentation excerpt preserving literal API names,selected substantive sections; not the full upstream file,RCCL repository/documentation terms; file SPDX not captured,evidence/docs/active/fault-tolerance.rst,d271f24bbcee2902e41dbf2028f3036e483d5cd6951830c9d975aeacad467d1c
SRC-STABLE-TOPOLOGY,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,src/graph/topo.cc,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,503cf9f4b0af4ee035861b7fa569c169a9e8c6f9,topology system construction and network node properties,2026-07-18,structured relevant excerpt summary with literal identifiers,not a verbatim full file; identifiers and behavior captured from inspected source,RCCL LICENSE.txt,evidence/source/stable/topology.cc.excerpt,14f435dfc61c2966f5ce30334a8b6c42881106aa21141e28efa83b8741dee20e
DOC-ACTIVE-NET-PLUGIN,documentation,[NORMATIVE_DOC],ROCm/rocm-systems,projects/rccl/plugins/net/README.md,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,8bcafc0a9e0f108e02c31f22df5ec31e129a9495,network properties / pciPath guidance,2026-07-18,structured documentation excerpt preserving literal field names,selected relevant content; not full file,RCCL repository/documentation terms; file SPDX not captured,evidence/docs/active/net-plugin-readme.md.excerpt,13dda681b0e5fe83145b2323f3594f5238d0689fb3eec8e26dd6e1e0806eaa33
TEST-RCCL-TESTS-MPI,test,[UPSTREAM_TEST],ROCm/rocm-systems,projects/rccl-tests/README.md,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,ff98827796ec3d70b86402b756e0361db6005b55,MPI and multi-node execution sections,2026-07-18,structured relevant documentation excerpt,selected relevant content; not full file,RCCL-tests repository license; exact file SPDX not captured,evidence/tests/rccl-tests-readme.md.excerpt,52eded75f8590995cd7bd0bf6b7717f68dd9579f5f0dfbe76f77796b194dbfd6
TEST-NET-SOCKET-UNIT,test,[UPSTREAM_TEST],ROCm/rocm-systems,projects/rccl/test/NetSocketTests.cpp,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,011bd24bf652524fef2c20955e1aa28ed23c7691,socket unit fixtures and send/receive tests,2026-07-18,structured relevant excerpt summary,not full file; audited test topology and assertions recorded,RCCL repository license / per-file terms,evidence/tests/NetSocketTests.cpp.excerpt,99ca60e5f0f123e64be17af995f83a0aecb0b984c6779f1823a64e4edeeedba3
TEST-MPI-FRAMEWORK,test,[UPSTREAM_TEST],ROCm/rocm-systems,projects/rccl/test/common/MPITestFramework.md,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,32ada53a93a9e6cd62ef388ead383ee14a772caa,multi-node MPI execution and interface configuration,2026-07-18,structured relevant excerpt summary,selected relevant content; not full file,RCCL repository license / per-file terms,evidence/tests/MPITestFramework.md.excerpt,56ebcac20edb6abe0080d45b9720514564fc22fba56752ef43316d55db7f3e2d
TEST-ACTIVE-TIMEOUT,test,[UPSTREAM_TEST],ROCm/rocm-systems,projects/rccl/test/TimeoutTests.cpp,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,3a275806d5f752a2034e31be610f2eae61d010ed,ncclTimeout result tests,2026-07-18,structured relevant excerpt summary,selected relevant content; not full file,RCCL repository license / per-file terms,evidence/tests/TimeoutTests.cpp.excerpt,28049c4cd1446b32d079df340494b13773fec8d23cd90a2bcdecf784d94fa237
TEST-ACTIVE-REVOKE,test,[UPSTREAM_TEST],ROCm/rocm-systems,projects/rccl/test/RevokeMPITests.cpp,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,51b93844fc42eae9437668b9f78542dc6acc1dc7,MPI revoke scenarios,2026-07-18,structured relevant excerpt summary,selected relevant content; not full file,RCCL repository license / per-file terms,evidence/tests/RevokeMPITests.cpp.excerpt,cdcb6f106148751dffcdd5d2f670dbafca0281674a5de588068eb1dd31eb32fa
TEST-ACTIVE-GROW,test,[UPSTREAM_TEST],ROCm/rocm-systems,projects/rccl/test/GrowMPITests.cpp,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,f5cf608e3b9498e75f04b63f3558af24cd1a47b3,MPI grow scenarios,2026-07-18,structured relevant excerpt summary,selected relevant content; not full file,RCCL repository license / per-file terms,evidence/tests/GrowMPITests.cpp.excerpt,fe93d9c1767239be868e421feb4d3f7e042c787d7c923143e6fd6f8ee087f0b5
DOC-ROCM-LANES,documentation,[NORMATIVE_DOC],AMD ROCm Documentation + ROCm/rccl tags,https://rocm.docs.amd.com/en/docs-6.4.3/about/release-notes.html; https://rocm.docs.amd.com/en/docs-7.0.2/about/release-notes.html; https://rocm.docs.amd.com/en/docs-7.1.1/about/release-notes.html; https://rocm.docs.amd.com/en/docs-7.2.1/about/release-notes.html; https://rocm.docs.amd.com/en/docs-7.2.2/about/release-notes.html; https://rocm.docs.amd.com/en/develop/release.html,versioned docs / release tags,see JSON lane records,component-version tables and tag refs,2026-07-18,structured exact version/tag map,complete for audited lanes,documentation terms not independently determined,evidence/docs/rocm-lane-map.json,1ee625640f084fee14c8bbe92fc2713c7657fe7ea1dd49039dc97d5605b086fe
DOC-RYZEN-GFX1151,documentation,[NORMATIVE_DOC],AMD ROCm Documentation,https://rocm.docs.amd.com/projects/radeon-ryzen/en/docs-7.2/docs/compatibility/compatibilityryz/native_linux/native_linux_compatibility.html,ROCm 7.2 documentation,,Linux GPU and framework support matrix,2026-07-18,short verbatim-derived official documentation excerpt,selected rows only,documentation terms not independently determined,evidence/docs/ryzen-gfx1151-support-matrix.md.excerpt,abf73ed0b985935064dfacdb1cd1a574f49b04a8109124941971ffc1b8d97648
PR-3415,pull_request,[MAINTAINER_STATEMENT],ROCm/rocm-systems,https://github.com/ROCm/rocm-systems/pull/3415,PR #3415,61f6b3d809033112e149eef75e33d3afa4d187d0,PR body/test plan/limitations,2026-07-18,attributed JSON snapshot,body condensed only by removal of non-substantive checklist; all test-boundary wording retained,commentary license not independently determined,evidence/issues/PR-3415.json,6fec03e202bab71fc9d86c5ef2ea588a6d19439ab84f4bb368ab80d1ec15b963
PR-4875,pull_request,[MAINTAINER_REPORTED_MACHINE_EVIDENCE],ROCm/rocm-systems,https://github.com/ROCm/rocm-systems/pull/4875,PR #4875,e06b1a9053a9d7e59a77ebb80104b485c83b04d1,PR body/test plan/result,2026-07-18,attributed JSON snapshot,complete substantive PR body captured,commentary license not independently determined,evidence/issues/PR-4875.json,e9d55c4bc6ba1750ba33999b13edaf833d8dd8c83e1800e1f4f2a3d9bacca1e5
ISSUE-2788,issue,[ISSUE_COMMENTARY],ROCm/rocm-systems,https://github.com/ROCm/rocm-systems/issues/2788,Issue #2788,n/a,issue body and comments,2026-07-18,attributed JSON snapshot,complete issue body and connector-returned comments,commentary license not independently determined,evidence/issues/ISSUE-2788.json,79325c5ee77f9dbb3bd2ab7e5ebbb5eb2be32e7f64ac5d97ec8f2e6947576d8c
ISSUE-2026,issue,[MAINTAINER_STATEMENT],ROCm/rccl,https://github.com/ROCm/rccl/issues/2026,Issue #2026,n/a,issue body and maintainer comments,2026-07-18,attributed JSON snapshot,complete connector-returned issue/comments,commentary license not independently determined,evidence/issues/ISSUE-2026.json,809805719e78543ced894bef6d800138ddc6571d6c949c0b639025aefefeff24
PR-2075,pull_request,[COMMUNITY_REPORTED_MACHINE_EVIDENCE],ROCm/rccl,https://github.com/ROCm/rccl/pull/2075,PR #2075,unmerged head not pinned in local snapshot,PR body and selected log lines,2026-07-18,attributed partial JSON snapshot,connector response was truncated because the PR body contains long logs; this local snapshot preserves the substantive claims and a small literal log excerpt,commentary/license not independently determined,evidence/issues/PR-2075.json,919be41b5c3f97617d4dd44c3183cf88c5d78c21da8298c2ee4129992d506a7c
AUTHORITY,repository metadata,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems; ROCm/rccl,repository metadata and README files,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,default branch/head and migration notices,2026-07-18,structured authority record,complete for audit pins,metadata; source licenses separately preserved,evidence/authority.json,13d532591cbe484518cc55bcde0c2b07e3ee677011a25937777e573a1dcda857
LICENSE-ACTIVE,license,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/LICENSE.txt,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,0149df86b4c913dab4f490428c130c211eb0a056,complete file,2026-07-18,verbatim complete file,complete,self,licenses/RCCL-active-LICENSE.txt,44cc3e23bcaf3f152f19e5dd063cb7ffc6b91bf98309b901fca653d6a592b9a1
LICENSE-STABLE,license,[SOURCE_IMPLEMENTATION],ROCm/rccl,LICENSE.txt,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,da5cc8feab0d002d79c261aba3507953ed966956,complete file,2026-07-18,verbatim complete file,complete,self,licenses/RCCL-stable-2.27.7-LICENSE.txt,df3a5e9aee2c34d6d41408bffa743f750cf8025c3374b91a19c8bfdcbc9fbdeb
RAW-ACTIVE-FAULT-DOC,documentation,[NORMATIVE_DOC],ROCm/rocm-systems,projects/rccl/docs/how-to/fault-tolerance.rst,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,4cdd5a668e693bc2ffc03056c00de13e61ae87a8,complete file,2026-07-18,byte-exact complete upstream file,complete,RCCL repository/documentation terms; file SPDX not captured,evidence/raw/active/docs/how-to/fault-tolerance.rst,2e29fd90f1e95a1001dbb465c4ed54992b94f07b5e1ff5f2f02a5022ffad9d45
RAW-ACTIVE-PLUGIN-HEADER,source,[NORMATIVE_API],ROCm/rocm-systems,projects/rccl/src/include/plugin/nccl_net.h,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,c7c8d995ef05c771f6be9ff7edf8434e026b3d98,complete file,2026-07-18,byte-exact complete upstream file,complete,Apache-2.0 (per-file SPDX),evidence/raw/active/src/include/plugin/nccl_net.h,c96176448fd85d4b1285c71d845e7c988df48574d03317b7a5f812b8f0a00044
RAW-ACTIVE-PLUGIN-V12,source,[NORMATIVE_API],ROCm/rocm-systems,projects/rccl/src/include/plugin/net/net_v12.h,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,299fd32cbec1c9762ca4e458b3ee42420bd61040,complete file,2026-07-18,byte-exact complete upstream file,complete,Apache-2.0 (per-file SPDX),evidence/raw/active/src/include/plugin/net/net_v12.h,e5b5995bdb2edc0b3a5ba5c6a0da500bc254b2d42f7088f30b240bf79c0bfb33
RAW-ACTIVE-VERSION,source,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/makefiles/version.mk,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,a623ed8aa0ff402b2a66c8d916407b93217cadd9,complete file,2026-07-18,byte-exact complete upstream file,complete,Apache-2.0 (per-file SPDX),evidence/raw/active/makefiles/version.mk,617dabdd90d71a9c0264b558f4615c40260cf92ca5450fc06e9c5722534035ee
RAW-STABLE-VERSION,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,makefiles/version.mk,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,3b182d61bdab57ddbe66f4f1e8383095fd7917af,complete file,2026-07-18,byte-exact complete upstream file,complete,RCCL LICENSE.txt,evidence/raw/stable/makefiles/version.mk,c8833d473c0d1595df460066c170954a7365014e9f440baee0ebe4e178bf7a35
RAW-STABLE-PLUGIN-HEADER,source,[NORMATIVE_API],ROCm/rccl,src/include/plugin/nccl_net.h,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,de271219b010a5d201113605e6a2a407fb5fafd7,complete file,2026-07-18,byte-exact complete upstream file,complete,RCCL LICENSE.txt,evidence/raw/stable/src/include/plugin/nccl_net.h,15eb892b77b320c96e3a16484f3e3d8527da302a0a7d3cd6441e4ae714f78d43
RAW-ACTIVE-LICENSE,license,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/LICENSE.txt,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,0149df86b4c913dab4f490428c130c211eb0a056,complete file,2026-07-18,byte-exact complete upstream file,complete,self,evidence/raw/active/LICENSE.txt,44cc3e23bcaf3f152f19e5dd063cb7ffc6b91bf98309b901fca653d6a592b9a1
RAW-STABLE-LICENSE,license,[SOURCE_IMPLEMENTATION],ROCm/rccl,LICENSE.txt,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,da5cc8feab0d002d79c261aba3507953ed966956,complete file,2026-07-18,byte-exact complete upstream file,complete,self,evidence/raw/stable/LICENSE.txt,df3a5e9aee2c34d6d41408bffa743f750cf8025c3374b91a19c8bfdcbc9fbdeb
