model_key,model,metric,value,unit,human_binary,one_link_nominal_floor_ms,two_link_nominal_floor_ms,evidence,notes
mixtral-8x7b,Mixtral 8x7B,layer_cut_decode_A_to_B_Q1,8192.0,B/token-step,8.000 KiB,0.0016384000000000001,0.0008192000000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,ideal_q4_weight_lower_bound,23350000000.0,B,21.75 GiB,4670.0,2335.0,CALCULATED LOWER BOUND,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,expert_service_prefill_4096_rho_0_5,2149580800.0,B,2.002 GiB,429.91616,214.95808,SCENARIO ASSUMPTION + CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,boundary_bytes_per_token,4096.0,B,4.000 KiB,0.0008192000000000001,0.00040960000000000004,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,kv_bytes_per_token,98304.0,B,96.00 KiB,0.0196608,0.0098304,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,tp_prefill_per_rank_sent_4096,1610612736.0,B,1.500 GiB,322.1225472,161.0612736,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,tp_decode_per_rank_sent_Q1,393216.0,B/token-step,384.00 KiB,0.0786432,0.0393216,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,layer_cut_prefill_A_to_B_4096,16777216.0,B,16.00 MiB,3.3554432000000003,1.6777216000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,layer_cut_decode_A_to_B_Q1,4096.0,B/token-step,4.000 KiB,0.0008192000000000001,0.00040960000000000004,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,ideal_q4_weight_lower_bound,15000000000.0,B,13.97 GiB,3000.0,1500.0,CALCULATED LOWER BOUND,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
qwen3-30b-a3b,Qwen3-30B-A3B-Instruct-2507,expert_service_prefill_4096_rho_0_5,6455033856.0,B,6.012 GiB,1291.0067712,645.5033856,SCENARIO ASSUMPTION + CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
