component_id,component,legacy_7_2_4_version,core_sdk_7_14_0_version,core_sdk_package_group,authoritative_source_root,gfx1151_status,notes,source_ids
COMP-014,rocRAND,4.2.0,4.5.0,amdrocm-rand,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,random implementation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-015,rocSOLVER,3.32.0,3.35.0,amdrocm-solver,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,solver implementation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-016,rocSPARSE,4.2.0,4.7.0,amdrocm-sparse,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,sparse implementation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-017,rocThrust,4.2.0,4.5.0,amdrocm-ccl,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,parallel algorithms; not RCCL,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-018,rocWMMA,2.2.0,2.2.1,amdrocm-ccl (legacy mapping includes rocwmma; verify installed package file owner),rocm-libraries,documented where listed; component applicability must follow 7.14 release table,wave matrix templates,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-019,RCCL,2.27.7,2.30.4,amdrocm-rccl,rocm-systems/projects/rccl,documented where listed; component applicability must follow 7.14 release table,collective communication,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-020,rocSHMEM,3.2.0,3.5.0,amdrocm-rocshmem,rocm-systems,documented where listed; component applicability must follow 7.14 release table,GPU-centric SHMEM,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-021,rocDecode,1.7.0,1.8.0,amdrocm-decode,rocm-systems,documented where listed; component applicability must follow 7.14 release table,media decode; gfx1151 listed in 7.14 applicability,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-022,rocJPEG,1.4.0,1.6.0,amdrocm-jpeg,rocm-systems,documented where listed; component applicability must follow 7.14 release table,JPEG,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-023,hipFile,not listed,0.3.0,see package manifest,rocm-systems,documented where listed; component applicability must follow 7.14 release table,7.14 release table limits to Instinct,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-024,HIP,7.2.1,7.14,amdrocm-runtime,rocm-systems,documented where listed; component applicability must follow 7.14 release table,runtime and language,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-025,ROCr Runtime / HSA,1.18.0,1.21.0,amdrocm-runtime,rocm-systems,documented where listed; component applicability must follow 7.14 release table,HSA runtime,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-026,LLVM,22.0.0,23.0.0,amdrocm-llvm,llvm-project,documented where listed; component applicability must follow 7.14 release table,compiler/toolchain,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-027,HIPIFY,22.0.0,7.14,amdrocm-hipify,HIPIFY,documented where listed; component applicability must follow 7.14 release table,source translation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-028,SPIRV-LLVM-Translator,not listed,23.0.0,amdrocm-llvm/runtime dependency,SPIRV-LLVM-Translator,documented where listed; component applicability must follow 7.14 release table,SPIR-V translation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-029,rocminfo,package-version capture required,1.0.0,amdrocm-base,rocm-systems,documented where listed; component applicability must follow 7.14 release table,runtime discovery,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-030,AMD SMI,legacy ROCm SMI/AMD SMI capture required,26.5.0,amdrocm-amdsmi,rocm-systems,documented where listed; component applicability must follow 7.14 release table,monitoring; APU metrics added,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-031,ROCm Compute Profiler,capture required,3.7.0,amdrocm-profiler,rocm-systems,documented where listed; component applicability must follow 7.14 release table,gfx1151 known counter issues,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-032,ROCprofiler-SDK,capture required,1.3.2,amdrocm-profiler / profiler-base,rocm-systems,documented where listed; component applicability must follow 7.14 release table,profiling runtime,"[""S001"", ""S004"", ""S006"", ""S002""]"
