source_id,title,url,type,repo,ref,blob,accessed,license,reuse_limit,local_capture
SRC-COMMIT-26A48,GGUF cumulative-size check,https://github.com/ggml-org/llama.cpp/commit/26a48ad699d50b6268900062661bd22f3e792579,commit,ggml-org/llama.cpp,26a48ad699d50b6268900062661bd22f3e792579,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-2BCD,Reject zero-block-size tensor types,https://github.com/ggml-org/llama.cpp/commit/2bcdddd5e3ade6b1e8c9437a652f9fbcf2ad2512,commit,ggml-org/llama.cpp,2bcdddd5e3ade6b1e8c9437a652f9fbcf2ad2512,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-39BF,Emergency RPC RCE patch,https://github.com/ggml-org/llama.cpp/commit/39bf0d3c6a95803e0f41aaba069ffbee26721042,commit,ggml-org/llama.cpp,39bf0d3c6a95803e0f41aaba069ffbee26721042,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-3CFB,token_to_piece size guard,https://github.com/ggml-org/llama.cpp/commit/3cfbbdb44e08fd19429fed6cc85b982a91f0efd5,commit,ggml-org/llama.cpp,3cfbbdb44e08fd19429fed6cc85b982a91f0efd5,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-418DEA,GGUF overflow checks,https://github.com/ggml-org/llama.cpp/commit/418dea39cea85d3496c8b04a118c3b17f3940ad8,commit,ggml-org/llama.cpp,418dea39cea85d3496c8b04a118c3b17f3940ad8,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-4E5B,GGUF tensor representability check,https://github.com/ggml-org/llama.cpp/commit/4e5b83b226919c146fbfa754641a6772bcb2d722,commit,ggml-org/llama.cpp,4e5b83b226919c146fbfa754641a6772bcb2d722,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-B2715,Tag b2715,https://github.com/ggml-org/llama.cpp/commit/192090bae47960f0d38d4967abe398a5d190057e,commit,ggml-org/llama.cpp,192090bae47960f0d38d4967abe398a5d190057e,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-B2740,Tag b2740,https://github.com/ggml-org/llama.cpp/commit/d4a9afc1009f0da88d04b2c5f672d81d5ae94675,commit,ggml-org/llama.cpp,d4a9afc1009f0da88d04b2c5f672d81d5ae94675,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-B729,b3561 RPC validation fixes,https://github.com/ggml-org/llama.cpp/commit/b72942fac998672a79a1ae3c03b340f7e629980b,commit,ggml-org/llama.cpp,b72942fac998672a79a1ae3c03b340f7e629980b,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-BA38,Correct RPC CPU-buffer pointer handling,https://github.com/ggml-org/llama.cpp/commit/ba38f3becce7d1283585c73d796eb47d72bbbd30,commit,ggml-org/llama.cpp,ba38f3becce7d1283585c73d796eb47d72bbbd30,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-C33F,Checked special-token access,https://github.com/ggml-org/llama.cpp/commit/c33fe8b8c4427202706b1434e9fc8ab5752c9cac,commit,ggml-org/llama.cpp,c33fe8b8c4427202706b1434e9fc8ab5752c9cac,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-C78F,Clamp negative n_discard,https://github.com/ggml-org/llama.cpp/commit/c78fb909b23758f5e418cf98a69bc8a0ef142fb8,commit,ggml-org/llama.cpp,c78fb909b23758f5e418cf98a69bc8a0ef142fb8,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-DD6E,Tokenizer result-size guard,https://github.com/ggml-org/llama.cpp/commit/dd6e6d0b6a4bbe3ebfc931d1eb14db2f2b1d70af,commit,ggml-org/llama.cpp,dd6e6d0b6a4bbe3ebfc931d1eb14db2f2b1d70af,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-COMMIT-FB85,Build follow-up b5662,https://github.com/ggml-org/llama.cpp/commit/fb85a288d72abbd5e5daa8de96e6f8bfa7b5ab46,commit,ggml-org/llama.cpp,fb85a288d72abbd5e5daa8de96e6f8bfa7b5ab46,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
SRC-CPP-GHSA-39q5-hh6x-jpxx,GHSA-39q5-hh6x-jpxx — Client crash on malformed Content-Length,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-39q5-hh6x-jpxx,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-39q5-hh6x-jpxx.json
SRC-CPP-GHSA-6hrp-7fq9-3qv2,GHSA-6hrp-7fq9-3qv2 — Credentials leaked across cross-origin redirect,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-6hrp-7fq9-3qv2,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-6hrp-7fq9-3qv2.json
SRC-CPP-GHSA-8ffh-4p95-g3p2,GHSA-8ffh-4p95-g3p2 — TLS IP-literal chain-verification bypass on MbedTLS/wolfSSL,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-8ffh-4p95-g3p2,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-8ffh-4p95-g3p2.json
SRC-CPP-GHSA-8mpw-r4gc-xm7q,GHSA-8mpw-r4gc-xm7q — Default exception handler information disclosure,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-8mpw-r4gc-xm7q,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-8mpw-r4gc-xm7q.json
SRC-CPP-GHSA-c3h8-fqq4-xm4g,GHSA-c3h8-fqq4-xm4g — TLS verification bypass through proxy redirect,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-c3h8-fqq4-xm4g,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-c3h8-fqq4-xm4g.json
SRC-CPP-GHSA-gfpf-r66f-5mh2,GHSA-gfpf-r66f-5mh2 — Untrusted X-Forwarded-For/X-Real-IP spoofing,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-gfpf-r66f-5mh2,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-gfpf-r66f-5mh2.json
SRC-CPP-GHSA-h6wq-j5mv-f3q8,GHSA-h6wq-j5mv-f3q8 — Negative chunk-size denial of service,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-h6wq-j5mv-f3q8,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-h6wq-j5mv-f3q8.json
SRC-CPP-GHSA-h934-98h4-j43q,GHSA-h934-98h4-j43q — Compressed-body zip-bomb resource exhaustion,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-h934-98h4-j43q,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-h934-98h4-j43q.json
SRC-CPP-GHSA-hg3g-vrg8-578g,GHSA-hg3g-vrg8-578g — Malformed X-Forwarded-For with trusted proxies can crash,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-hg3g-vrg8-578g,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-hg3g-vrg8-578g.json
SRC-CPP-GHSA-j6p8-779x-p5pw,GHSA-j6p8-779x-p5pw — Trailer-header request smuggling,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-j6p8-779x-p5pw,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-j6p8-779x-p5pw.json
SRC-CPP-GHSA-jv63-rm9j-6jwc,GHSA-jv63-rm9j-6jwc — GET body request smuggling,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-jv63-rm9j-6jwc,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-jv63-rm9j-6jwc.json
SRC-CPP-GHSA-px83-72rx-v57c,GHSA-px83-72rx-v57c — Unbounded memory allocation in chunked/no-length requests,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-px83-72rx-v57c,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-px83-72rx-v57c.json
SRC-CPP-GHSA-qjmq-h3cc-qv6w,GHSA-qjmq-h3cc-qv6w — Persistent unbounded allocation in chunked/no-length requests,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-qjmq-h3cc-qv6w,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-qjmq-h3cc-qv6w.json
SRC-CPP-GHSA-qq6v-r583-3h69,GHSA-qq6v-r583-3h69 — Multipart filename* regex stack overflow,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-qq6v-r583-3h69,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-qq6v-r583-3h69.json
SRC-CPP-GHSA-wpc6-j37r-jcx7,GHSA-wpc6-j37r-jcx7 — Outbound header CRLF injection,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-wpc6-j37r-jcx7,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-wpc6-j37r-jcx7.json
SRC-CPP-GHSA-xjhg-gf59-p92h,GHSA-xjhg-gf59-p92h — Unlimited HTTP header fields cause memory exhaustion,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-xjhg-gf59-p92h,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-xjhg-gf59-p92h.json
SRC-CPP-GHSA-xjxg-64p4-vj4m,GHSA-xjxg-64p4-vj4m — Percent-decoded header CRLF injection,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-xjxg-64p4-vj4m,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-xjxg-64p4-vj4m.json
SRC-CPP-GHSA-xm2j-vfr9-mg9m,GHSA-xm2j-vfr9-mg9m — Internal REMOTE/LOCAL header shadowing,https://github.com/yhirose/cpp-httplib/security/advisories/GHSA-xm2j-vfr9-mg9m,advisory,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/cpp-httplib/GHSA-xm2j-vfr9-mg9m.json
SRC-CPP-SEC-LIST,cpp-httplib advisory list,https://github.com/yhirose/cpp-httplib/security/advisories,advisory-list,yhirose/cpp-httplib,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LAUNCHER-ROCM,charlie12345/ROCmFPX@61f2f2d7bc4955e9bca821095ef69125837133b5:scripts/run-rocmfpx-mtp-server.sh,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/scripts/run-rocmfpx-mtp-server.sh,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-LEGACY-GGUF-B2715,ggml-org/llama.cpp@b2715:ggml.c — exact blob ID not captured,https://github.com/ggml-org/llama.cpp/blob/b2715/ggml.c,source-file,ggml-org/llama.cpp,b2715,,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-LEGACY-GGUF-B2740,ggml-org/llama.cpp@b2740:ggml.c,https://github.com/ggml-org/llama.cpp/blob/b2740/ggml.c,source-file,ggml-org/llama.cpp,b2740,,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-LLAMA-GHSA-3P4R,GHSA-3p4r-fq3f-q74v — GGUF mem_size integer-overflow validation bypass,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-3p4r-fq3f-q74v,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-3p4r-fq3f-q74v.json
SRC-LLAMA-GHSA-3p4r-fq3f-q74v,GHSA-3p4r-fq3f-q74v — GGUF mem_size integer-overflow validation bypass,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-3p4r-fq3f-q74v,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-49Q7,GHSA-49q7-2jmh-92fp — Legacy GGUF duplicate-key null dereference,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-49q7-2jmh-92fp,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-49q7-2jmh-92fp.json
SRC-LLAMA-GHSA-49q7-2jmh-92fp,GHSA-49q7-2jmh-92fp — Legacy GGUF duplicate-key null dereference,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-49q7-2jmh-92fp,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-5VM9,GHSA-5vm9-p64x-gqw9 — RPC GET_TENSOR arbitrary read,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-5vm9-p64x-gqw9,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-5vm9-p64x-gqw9.json
SRC-LLAMA-GHSA-5vm9-p64x-gqw9,GHSA-5vm9-p64x-gqw9 — RPC GET_TENSOR arbitrary read,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-5vm9-p64x-gqw9,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-7RXV,GHSA-7rxv-5jhh-j6xx — Tokenizer result-size signed/unsigned overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-7rxv-5jhh-j6xx,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-7rxv-5jhh-j6xx.json
SRC-LLAMA-GHSA-7rxv-5jhh-j6xx,GHSA-7rxv-5jhh-j6xx — Tokenizer result-size signed/unsigned overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-7rxv-5jhh-j6xx,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-8947,GHSA-8947-pfff-2f3c — HTTP server negative n_discard out-of-bounds write,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-8947-pfff-2f3c,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-8947-pfff-2f3c.json
SRC-LLAMA-GHSA-8947-pfff-2f3c,GHSA-8947-pfff-2f3c — HTTP server negative n_discard out-of-bounds write,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-8947-pfff-2f3c,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-8WWF,GHSA-8wwf-w4qm-gpqr — token_to_piece size-conversion buffer overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-8wwf-w4qm-gpqr,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-8wwf-w4qm-gpqr.json
SRC-LLAMA-GHSA-8wwf-w4qm-gpqr,GHSA-8wwf-w4qm-gpqr — token_to_piece size-conversion buffer overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-8wwf-w4qm-gpqr,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-96JG,GHSA-96jg-mvhq-q7q7 — GGUF tensor-size representability overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-96jg-mvhq-q7q7,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-96jg-mvhq-q7q7.json
SRC-LLAMA-GHSA-96jg-mvhq-q7q7,GHSA-96jg-mvhq-q7q7 — GGUF tensor-size representability overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-96jg-mvhq-q7q7,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-G4CC,GHSA-g4cc-763q-h9h6 — Vocabulary special-token heap over-read,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-g4cc-763q-h9h6,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-g4cc-763q-h9h6.json
SRC-LLAMA-GHSA-J8RJ,GHSA-j8rj-fmpv-wcxw — RPC GRAPH_COMPUTE null-buffer validation bypass,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-j8rj-fmpv-wcxw,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-j8rj-fmpv-wcxw.json
SRC-LLAMA-GHSA-MQP6,GHSA-mqp6-7pv6-fqjf — RPC invalid tensor type global buffer overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-mqp6-7pv6-fqjf,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-mqp6-7pv6-fqjf.json
SRC-LLAMA-GHSA-P5MV,GHSA-p5mv-gjc5-mwqv — Legacy GGUF uninitialized free after short read,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-p5mv-gjc5-mwqv,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-p5mv-gjc5-mwqv.json
SRC-LLAMA-GHSA-VGG9,GHSA-vgg9-87g3-85w8 — GGUF cumulative context-size overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-vgg9-87g3-85w8,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-vgg9-87g3-85w8.json
SRC-LLAMA-GHSA-WCR5,GHSA-wcr5-566p-9cwj — RPC SET_TENSOR arbitrary write,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-wcr5-566p-9cwj,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,evidence/advisories/llama.cpp/GHSA-wcr5-566p-9cwj.json
SRC-LLAMA-GHSA-g4cc-763q-h9h6,GHSA-g4cc-763q-h9h6 — Vocabulary special-token heap over-read,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-g4cc-763q-h9h6,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-j8rj-fmpv-wcxw,GHSA-j8rj-fmpv-wcxw — RPC GRAPH_COMPUTE null-buffer validation bypass,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-j8rj-fmpv-wcxw,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-mqp6-7pv6-fqjf,GHSA-mqp6-7pv6-fqjf — RPC invalid tensor type global buffer overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-mqp6-7pv6-fqjf,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-p5mv-gjc5-mwqv,GHSA-p5mv-gjc5-mwqv — Legacy GGUF uninitialized free after short read,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-p5mv-gjc5-mwqv,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-vgg9-87g3-85w8,GHSA-vgg9-87g3-85w8 — GGUF cumulative context-size overflow,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-vgg9-87g3-85w8,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-GHSA-wcr5-566p-9cwj,GHSA-wcr5-566p-9cwj — RPC SET_TENSOR arbitrary write,https://github.com/ggml-org/llama.cpp/security/advisories/GHSA-wcr5-566p-9cwj,advisory,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-LLAMA-SEC-LIST,llama.cpp repository advisory list,https://github.com/ggml-org/llama.cpp/security/advisories,advisory-list,ggml-org/llama.cpp,,,2026-07-18,GitHub page/contributor text,Factual metadata and short excerpts only.,
SRC-MINIAUDIO-SEC,mackron/miniaudio security page,https://github.com/mackron/miniaudio/security,security-page,mackron/miniaudio,,,2026-07-18,GitHub page/project text,Factual metadata and short excerpts only.,
SRC-NLOHMANN-SEC,nlohmann/json security page,https://github.com/nlohmann/json/security,security-page,nlohmann/json,,,2026-07-18,GitHub page/project text,Factual metadata and short excerpts only.,
SRC-ROCM-COMMON-CPP,ROCmFPX filename validation,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/common/common.cpp,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,5b92940284b52d90e4cae9d8c5af0b4ca7080448,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-ROCM-COMMON-H,ROCmFPX HTTP defaults,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/common/common.h,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
