source_id,title,publisher,document_revision,publication_or_release_date,access_date,upstream_url,immutable_or_versioned_url,local_path,local_size_bytes,local_sha256,hash_scope,license,archival_status,notes
NIST-FIPS197-U1,FIPS 197 Update 1 — Advanced Encryption Standard,National Institute of Standards and Technology,FIPS 197; updated 2023-05-09,2001-11-26 / updated 2023-05-09,2026-07-18,https://doi.org/10.6028/NIST.FIPS.197-upd1,https://doi.org/10.6028/NIST.FIPS.197-upd1,sources/raw/nist/NIST.FIPS.197-upd1.pdf,1184436,62c86eb567f13edb8f71826e985da870b04ef6381634f303cdb16e84d47becd1,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-FIPS198-1,FIPS 198-1 — HMAC,National Institute of Standards and Technology,FIPS 198-1,2008-07,2026-07-18,https://doi.org/10.6028/NIST.FIPS.198-1,https://doi.org/10.6028/NIST.FIPS.198-1,sources/raw/nist/NIST.FIPS.198-1.pdf,129454,67661ba1407b391c799ff407471de18f36697af51d78a777e817c067ac30da23,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,"FIPS 198-1 remained listed as final at access. NIST had proposed withdrawal when SP 800-224 becomes final; SP 800-224 was still an initial public draft, so this bundle uses FIPS 198-1 and RFC 2104 with an explicit status caution."
RFC5116,RFC5116 — An Interface and Algorithms for Authenticated Encryption,Internet Engineering Task Force / RFC Editor,RFC 5116,2008-01,2026-07-18,https://www.rfc-editor.org/rfc/rfc5116.txt,https://www.rfc-editor.org/rfc/rfc5116.txt,sources/raw/rfc/RFC5116.txt,50539,8762fee7c85e682fce609c75e0f5040ee7efa8fca96969ffd85df37585e0eda1,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC8439,RFC8439 — ChaCha20 and Poly1305 for IETF Protocols,Internet Engineering Task Force / RFC Editor,RFC 8439,2018-06,2026-07-18,https://www.rfc-editor.org/rfc/rfc8439.txt,https://www.rfc-editor.org/rfc/rfc8439.txt,sources/raw/rfc/RFC8439.txt,88847,25bef70fbf7a07ff45c2fe4cb7c6ce954eac687413d8610603268b4e4415324c,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC8452,RFC8452 — AES-GCM-SIV: Nonce Misuse-Resistant Authenticated Encryption,Internet Engineering Task Force / RFC Editor,RFC 8452,2019-04,2026-07-18,https://www.rfc-editor.org/rfc/rfc8452.txt,https://www.rfc-editor.org/rfc/rfc8452.txt,sources/raw/rfc/RFC8452.txt,102765,ca48ec466b401ce5d68d6d1628127a1800adcc16f2573646aaa3d7df284d3c17,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC5869,RFC5869 — HMAC-based Extract-and-Expand Key Derivation Function (HKDF),Internet Engineering Task Force / RFC Editor,RFC 5869,2010-05,2026-07-18,https://www.rfc-editor.org/rfc/rfc5869.txt,https://www.rfc-editor.org/rfc/rfc5869.txt,sources/raw/rfc/RFC5869.txt,25854,7a40eb3835b35fc947eb12a2ed614db079d43b26e50dbc537c31fba16397089c,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC2104,RFC2104 — HMAC: Keyed-Hashing for Message Authentication,Internet Engineering Task Force / RFC Editor,RFC 2104,1997-02,2026-07-18,https://www.rfc-editor.org/rfc/rfc2104.txt,https://www.rfc-editor.org/rfc/rfc2104.txt,sources/raw/rfc/RFC2104.txt,22297,64d5245a9101929025336e470e3737f118704001249d503c85a86e19fe9fbb01,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC9106,RFC9106 — Argon2 Memory-Hard Function for Password Hashing and Proof-of-Work,Internet Engineering Task Force / RFC Editor,RFC 9106,2021-09,2026-07-18,https://www.rfc-editor.org/rfc/rfc9106.txt,https://www.rfc-editor.org/rfc/rfc9106.txt,sources/raw/rfc/RFC9106.txt,37228,855c06f060379e34285e83a217e9069b5c72e161a1e54df9af5cd88dbb231f31,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC8018,RFC8018 — PKCS #5: Password-Based Cryptography Specification Version 2.1,Internet Engineering Task Force / RFC Editor,RFC 8018,2017-01,2026-07-18,https://www.rfc-editor.org/rfc/rfc8018.txt,https://www.rfc-editor.org/rfc/rfc8018.txt,sources/raw/rfc/RFC8018.txt,80887,cf96b02e68216f618ea33b20b49d476edba9d70f2333597ec516629d22971cda,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
RFC8949,RFC8949 — Concise Binary Object Representation (CBOR),Internet Engineering Task Force / RFC Editor,RFC 8949,2020-12,2026-07-18,https://www.rfc-editor.org/rfc/rfc8949.txt,https://www.rfc-editor.org/rfc/rfc8949.txt,sources/raw/rfc/RFC8949.txt,185226,f1164a5b31a39350ad46abe29b83575eb933ca6c45366989c118b6b1058a214a,file bytes,Document-embedded IETF Trust copyright and legal-provisions notice,byte-preserved RFC text,
