claim_id,source_id,relationship
CLM-0062,SRC-DSR1-PUBLISHER,supports
CLM-0063,SRC-DSR1-PUBLISHER,supports
CLM-0064,SRC-DSR1-CONVERSION,supports
CLM-0065,SRC-DSR1-CONVERSION,supports
CLM-0066,SRC-DSR1-CONVERSION,supports
CLM-0067,SRC-LLAMACPP-COMMIT,supports
CLM-0067,SRC-LLAMACPP-ARCH,supports
CLM-0067,SRC-LLAMACPP-MODELS,supports
CLM-0068,SRC-ROCMFPX-COMMIT,supports
CLM-0068,SRC-ROCMFPX-OPS,supports
CLM-0070,SRC-DSR1-PUBLISHER,supports
CLM-0070,SRC-DSR1-CONVERSION,supports
CLM-0070,SRC-LLAMACPP-MODELS,supports
CLM-0070,SRC-ROCMFPX-OPS,supports
CLM-0071,SRC-MINIMAX-PUBLISHER,supports
CLM-0072,SRC-MINIMAX-PUBLISHER,supports
CLM-0073,SRC-MINIMAX-PUBLISHER,supports
CLM-0074,SRC-MINIMAX-PUBLISHER,supports
CLM-0075,SRC-MINIMAX-PUBLISHER,supports
CLM-0076,SRC-MINIMAX-PUBLISHER,supports
CLM-0077,SRC-MINIMAX-PUBLISHER,supports
CLM-0077,SRC-MINIMAX-LICENSE,supports
CLM-0078,SRC-MINIMAX-CONVERSION,supports
CLM-0079,SRC-MINIMAX-CONVERSION,supports
CLM-0080,SRC-MINIMAX-CONVERSION,supports
CLM-0081,SRC-LLAMACPP-COMMIT,supports
CLM-0081,SRC-LLAMACPP-ARCH,supports
CLM-0081,SRC-LLAMACPP-MODELS,supports
CLM-0082,SRC-ROCMFPX-COMMIT,supports
CLM-0082,SRC-ROCMFPX-OPS,supports
CLM-0084,SRC-MINIMAX-PUBLISHER,supports
CLM-0084,SRC-MINIMAX-LICENSE,supports
CLM-0084,SRC-MINIMAX-CONVERSION,supports
CLM-0084,SRC-LLAMACPP-MODELS,supports
CLM-0084,SRC-ROCMFPX-OPS,supports
CLM-0087,SRC-DSV31-CONVERSION,supports
CLM-0088,SRC-GLM47-CONVERSION,supports
CLM-0089,SRC-QWEN35-CONVERSION,supports
CLM-0090,SRC-NEMOTRON-CONVERSION,supports
CLM-0091,SRC-DSR1-CONVERSION,supports
CLM-0092,SRC-MINIMAX-CONVERSION,supports
