source_id,component,status,repository,commit_or_version,path_or_url,pci_applicability,access_date,local_capture,capture_type,license,upstream_blob_sha1,notes
XDNA-LEGACY-NPU5,driver/firmware coupling,[VENDOR-ONLY],amd/xdna-driver,0697b1720fc539f57bdc8d5854ddf7c7014ae160,src/driver/amdxdna/npu5_regs.c,npu5 / NPU Strix Halo,2026-07-18,sources/raw/amd-xdna-driver/legacy-npu5_regs.c,full exact source,GPL-2.0,a8be3ae6634c8812393f5f03641b007175e8e1f6,Legacy path expects npu.dev.sbin and minimum firmware 6.12; do not conflate with upstream names.
LINUX-FIRMWARE,firmware,[UPSTREAM],kernel-firmware/linux-firmware,924d73c9a2501a256d18a26cbe640548c70b3a9a,WHENCE,amdnpu/17f0_11,2026-07-18,sources/excerpts/vendor-docs/linux-firmware-WHENCE.amdxdna.txt,exact WHENCE excerpt,Redistributable; see LICENSE.amdnpu,3be577a6ba7f0f880176c8c79c64f498df84599a,npu.sbin.1.0.0.166 and npu_7 target npu.sbin.1.1.2.65.
AMD-LINUX-171,vendor runtime/packaging,[VENDOR-ONLY],AMD documentation,Ryzen AI Software 1.7.1; page updated 2026-07-17,https://ryzenai.docs.amd.com/en/latest/linux.html,STX/KRK; docs detect 1022:17f0,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD documentation terms; package EULA applies,,"Ubuntu 24.04, kernel >=6.10, exact XRT/plugin package filenames."
AMD-RELNOTES-171,vendor support matrix,[VENDOR-ONLY],AMD documentation,Ryzen AI Software 1.7.1,https://ryzenai.docs.amd.com/en/latest/relnotes.html,Strix Halo grouped as STX; Ryzen AI Max 300 supported,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD documentation terms,,SmolLM 135M entries and version compatibility warnings.
AMD-MODEL,model/compiler,[VENDOR-ONLY],AMD documentation,Ryzen AI Software 1.7.1,https://ryzenai.docs.amd.com/en/latest/model_quantization.html,Ryzen AI supported NPU platforms,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD documentation terms,,"ONNX, FP32->BF16, CNN INT8."
AMD-OPS,operator coverage,[VENDOR-ONLY],AMD documentation,operator table labeled Ryzen AI 1.5.0,https://ryzenai.docs.amd.com/en/1.5/ops_support.html,broad Ryzen AI operator matrix; not a 1.7.1 exact guarantee,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD documentation terms,,BF16/A16W8/A8W8/XINT8; configurations may still be unsupported.
AMD-LLM-LINUX,LLM runtime,[VENDOR-ONLY],AMD documentation,Ryzen AI Software 1.7.1; page updated 2026-07-10,https://ryzenai.docs.amd.com/en/latest/llm_linux.html,STX/KRK Linux NPU-only flow,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD package/EULA terms,,Versioned OGA assets; published sample figures are not target measurements.
AMD-OVERVIEW,framework boundary,[VENDOR-ONLY],AMD documentation,Ryzen AI Software 1.7.1; page updated 2026-07-17,https://ryzenai.docs.amd.com/en/latest/,Ryzen AI,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD documentation terms,,llama.cpp identified as iGPU-only.
AMD-WHISPER,framework boundary,[WINDOWS-ONLY],AMD documentation,Ryzen AI Software 1.7.0 page,https://ryzenai.docs.amd.com/en/1.7/whisper_cpp.html,Ryzen AI 300; NPU path,2026-07-18,sources/records/official-primary-claim-capture.md,structured claim capture,AMD documentation terms,,NPU acceleration currently Windows-only; Linux planned.
RYZENAI-DISTIL,bounded classifier example,[VENDOR-ONLY],amd/RyzenAI-SW,9513bd60ddd5cb960ddda897096b808dd5cca6d0,Transformer-examples/DistilBERT_text_classification_bf16,Ryzen AI VitisAIExecutionProvider; target must be probed,2026-07-18,sources/raw/ryzenai-sw/DistilBERT_text_classification_bf16_README.md,full exact example files,MIT,f5f7cde87b16ea170613ec3e032e276188d31312,"ONNX opset 17, BF16, batch 1, fixed sequence length 128, cache."
RYZENAI-EMBED,embedding example,[UNKNOWN],amd/RyzenAI-SW,9513bd60ddd5cb960ddda897096b808dd5cca6d0,LLM-examples/RAG-OGA/custom_embedding/custom_embedding.py,Ryzen AI VitisAIExecutionProvider; Linux qualification not established,2026-07-18,sources/raw/ryzenai-sw/custom_embedding.py; sources/excerpts/ryzenai-sw/RAG-OGA.embedding-relevant.md,full exact source,MIT,780f9f4cfe6cbf756e8fa1d7c26dc91a40c65fb4,BGE max length 512; public RAG instructions pin 1.7.0 hybrid/Conda flow; RAG README blob d44216307ac18ea01a59a129e52af67ffceaea21.
XRT,userspace runtime,[UPSTREAM],Xilinx/XRT,a21f10d59b51e9235b7c90b804470fce9650cfa0,https://github.com/Xilinx/XRT/tree/a21f10d59b51e9235b7c90b804470fce9650cfa0,generic XRT; NPU shim supplied separately,2026-07-18,sources/excerpts/runtime/XRT_LICENSE.lines1-55.txt,exact license excerpt plus commit metadata,userspace Apache-2.0; xocl/xclmgmt GPL-2.0; zocl dual,2d57c902f59b9d65bc04651e9cea007ab21ead23,No assertion that AMD 1.7.1 package was built from this commit.
LLVM-AIE,compiler,[UPSTREAM],Xilinx/llvm-aie,ce8c0f8fd66bff15b347351c67e9fb4fe0a17205,https://github.com/Xilinx/llvm-aie/tree/ce8c0f8fd66bff15b347351c67e9fb4fe0a17205,AMD AI Engine compute-tile compiler,2026-07-18,sources/excerpts/runtime/LLVM-AIE_LICENSE.lines1-20.txt,exact license excerpt plus commit metadata,Apache-2.0 WITH LLVM-exception,fa6ac540007032cbd0ec772a1c72e6cb5527a4fe,Open low-level compiler; not turnkey ONNX deployment by itself.
MLIR-AIE,compiler,[UPSTREAM],Xilinx/mlir-aie,79089be0abae3c7ec8a69b69357031b99667bdd4,https://github.com/Xilinx/mlir-aie/tree/79089be0abae3c7ec8a69b69357031b99667bdd4,AMD AI Engine array compiler / IRON,2026-07-18,sources/excerpts/runtime/MLIR-AIE_LICENSE.lines1-20.txt,exact license excerpt plus commit metadata,Apache-2.0 WITH LLVM-exception,3149f1e840dc915b6355a397462634e362dc3cef,Open low-level compiler; vendor high-level stack still required for documented flows.
RYZENAI-RAG-README,embedding/hybrid sample documentation,[UNKNOWN],amd/RyzenAI-SW,9513bd60ddd5cb960ddda897096b808dd5cca6d0,LLM-examples/RAG-OGA/README.md,Ryzen AI 1.7.0 sample; target Linux qualification not established,2026-07-18,sources/excerpts/ryzenai-sw/RAG-OGA.embedding-relevant.md,selected exact passages; non-contiguous,MIT repository,d44216307ac18ea01a59a129e52af67ffceaea21,Documents BGE Vitis AI EP and hybrid flow in a 1.7.0 Conda environment.
