provenance_id,repository,commit,path,blob_or_gitlink_sha,import_method,license_expression,notice_required,notice_token,source_url,notes
P-011,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,tools/mtmd/legacy-models/minicpmv-convert-image-encoder-to-gguf.py,1f563fbfc5998c3eefb9b5f253f35637cfb8024e,copied/adapted-HuggingFace,Apache-2.0,yes,HuggingFace/Google Apache,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/tools/mtmd/legacy-models/minicpmv-convert-image-encoder-to-gguf.py,Source trail in header
P-012,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/rebuild.sh,dedf0d299169a2898331289bc0009554a75b1952,project-authored-wrapper,GPL-3.0-or-later,yes,llama-ai GPL,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/rebuild.sh,Downloads TheRock nightly
P-013,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,src/cachy-llama-rocm/build.sh,170fbf8e9f4c1af4d74e71ae207dc98da7dae1ef,project-authored-wrapper,GPL-3.0-or-later,yes,llama-ai GPL,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/src/cachy-llama-rocm/build.sh,SPDX header
P-014,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,git-submodule,MIT,yes,CachyLLama MIT,https://github.com/fewtarius/CachyLLama/commit/6be745998f568e379ea197fcf827baec73ff9940,Separate repository/license
P-015,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,LICENSE,e7dca554bcb802f98408383a864404e3aa4eacca,repository-root,MIT,yes,MIT,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/LICENSE,Root license
P-016,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,vendor/nlohmann/json.hpp,82d69f7c5d044c9887c96b90c97f5639083ecd14,vendor-sync,MIT,yes,nlohmann/json,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/vendor/nlohmann/json.hpp,Version 3.12.0
P-017,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,vendor/stb/stb_image.h,9eedabedc45b3e6fd88fae6f14a160b4d53272ec,vendor-sync,MIT OR public-domain,yes,stb_image,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/vendor/stb/stb_image.h,Recommend MIT election
P-018,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,vendor/miniaudio/miniaudio.h,c6d493ee81f553b8dd584e402453f130c20e0546,vendor-sync-9634bed,MIT-0 OR public-domain,yes,miniaudio,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/vendor/miniaudio/miniaudio.h,Vendor input 9634bedb5b5a2ca38c1ee7108a9358a4e233f14d; recommend MIT-0 election
P-019,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,vendor/sheredom/subprocess.h,3e40bae046a21339752bf15221ff7d1d39f6a8ce,vendor-sync-b49c56e,public-domain/Unlicense-style,yes,subprocess.h,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/vendor/sheredom/subprocess.h,Vendor input b49c56ee40e7b44706b719008e2385ea381177ac; jurisdiction review
P-020,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,vendor/cpp-httplib/LICENSE,3e5ed359a2bb16f52c383745c25f14bb7a81c9e4,vendor-sync-v0.50.1,MIT,yes,cpp-httplib,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/vendor/cpp-httplib/LICENSE,cpp-httplib v0.50.1 license file
P-021,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,tools/ui/package-lock.json,7216de682340876a48c0bc06647159cb1f25ba21,npm-lock-generated,mixed-transitive,yes,npm WebUI,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/tools/ui/package-lock.json,Generate SBOM and license report
P-022,ROCm/TheRock,44164a5a330ebd8ae581c1d91f8f4a7251808666,LICENSE,5c22b7e0496700a306b37a37fcfb23bfaa6a986f,repository-root,MIT,yes,TheRock build system,https://github.com/ROCm/TheRock/blob/44164a5a330ebd8ae581c1d91f8f4a7251808666/LICENSE,Build-system root only; does not classify assembled tarball
