id,component,measured_identity,authority,advisory_or_source,covered_product,issue_or_scope,official_floor_or_status,release_date,applicability,confidence,target_state,decision,source_id
A-016,GPU process isolation,Ryzen AI Max 300 iGPU,AMD Product Security,AMD-SB-6013 / CVE-2024-21969,RX 7000 / PRO W7000 mapped family,GPU register information disclosure,Adrenalin 26.1.1 / PRO 26.Q1 plus non-default isolation mode,Captured current bulletin state,[FAMILY_APPLIES] [FIX_AVAILABLE],Medium,[OPEN] isolation mode unknown,Security/performance acceptance required,AMD-SB-6013
A-017,AMD RAID software,Ryzen AI Max 300,AMD Product Security,AMD-SB-4016,Ryzen AI Max 300 Series,RAID software vulnerabilities,AMD RAID Software 9.3.3.245,2025-11-03,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High if RAID installed,[OPEN] RAID presence unknown,Conditional: inventory/remove/update RAID stack,AMD-SB-4016
A-018,NVMe SSD firmware,Crucial P310 1 TB / VACR001,Crucial/Micron,P310 support page,Crucial P310 family,Public firmware availability,No firmware updates at capture time,2026-07-18 capture,[FAMILY_APPLIES] [NO_PUBLIC_PACKAGE],Medium,VACR001 exact status [OPEN],"[HOLD] Do not cross-flash; collect exact model, fw slots, activation behavior, vendor support statement",CRUCIAL-P310-SUPPORT
A-019,LVFS/fwupd coverage,NIMO MME3L; P310; 1002:1586; VACR001,LVFS/fwupd,Public PULP manifest,Public firmware filenames only,Repository candidate coverage,No literal target strings found,2026-07-18 capture,[OPEN],High literal search; Low applicability,Unknown until local GUID match,"Run fwupd inventory; preserve GUIDs, flags, lowest version, bootloader version, remote and release metadata",LVFS-PULP-MANIFEST
A-020,AMDGPU firmware blobs,gfx1151 / PCI 1002:1586 rev c1,linux-firmware,main + WHENCE,AMDGPU gc_11_5_1 and related IP firmware families,Runtime firmware supply,Repository commit 924d73c9a2501a256d18a26cbe640548c70b3a9a,2026-07-16,[FAMILY_APPLIES],Medium,Loaded tuple [OPEN],Pin and hash tested kernel + linux-firmware tuple; capture `amdgpu_firmware_info` and package commit,LINUX-FIRMWARE-MAIN
A-021,Linux kernel/KFD,Strix Halo / gfx1151,AMD ROCm,Strix Halo system optimization,Strix Halo,Required KFD fixes,Linux 6.18.4+ or verified backports of 7f26af7 and 7445db6,Official documentation current at access,[EXPLICITLY_APPLIES],High,Running kernel [OPEN],[HOLD] Compute deployment until kernel floor/backports proven,AMD-ROCM-STRIXHALO-SYSOPT
A-022,PCIe telemetry,All PCIe hierarchy devices including NVMe/GPU/USB4 bridges,Linux kernel / PCIe AER,PCIe AER driver guide,AER-capable Root Ports/RCECs,Correctable/uncorrectable link and hierarchy errors,CONFIG_PCIEAER + AER capability + ACPI _OSC OS control,N/A,[SUPPORTED_IF_PRESENT],Medium target,[OPEN],"Collect capabilities, `_OSC` logs, masks and sysfs counters; absence is a telemetry gap",KERNEL-PCIE-AER
A-023,Memory/CPU RAS,Strix Halo platform,Linux EDAC/MCA,EDAC and machine-check docs/source,Generic AMD x86; exact target not named,Memory CE/UE and CPU internal hardware errors,Driver/capability dependent,N/A,[UNKNOWN] [SUPPORTED_IF_PRESENT],Low target,Unproven,Treat memory CE/UE visibility as absent until EDAC/MCA instances and decoded events are demonstrated,KERNEL-EDAC-DOC; KERNEL-X86-MCA; KERNEL-SOURCE-AMD64-EDAC
A-024,GPU RAS,gfx1151 / PCI 1002:1586 rev c1,Linux AMDGPU,AMDGPU RAS docs/source,Supported ASIC/IP blocks only,"Per-block CE/UE/poison, reset/recovery",ASIC/IP + PSP/VBIOS + ras_mask gated,N/A,[UNKNOWN],Low target,Unproven,"Capture IP discovery, `ras_mask`, `ras/features`, `*_err_count`; do not count generic docs as coverage",KERNEL-AMDGPU-RAS-DOC; KERNEL-SOURCE-AMDGPU-RAS; KERNEL-SOURCE-AMDGPU-DISCOVERY
A-025,USB4 routers/controllers/retimers,Not supplied in request payload,Linux USB4/Thunderbolt + OEM/LVFS,USB4 and Thunderbolt admin guide,Enumerated host/device/retimer only,"Security level, DMA protection, NVM update/authentication, safe mode",Device/OEM-specific,N/A,[OPEN: LOCAL_ID_REQUIRED],Low,Unknown,"[HOLD] No firmware action until IDs, NVM versions, exact image applicability, authentication and recovery are proven",KERNEL-USB4-THUNDERBOLT
A-026,PCIe errata,Strix Halo,AMD Product Security,AMD-SB-7056,Captured EPYC 9005 / Embedded 9005 list,PCIe specification-related issue,Target not listed,,[NOT_LISTED_FOR_TARGET],High captured list,No unaffected conclusion,Keep generic PCIe/AER and OEM errata watch open,AMD-SB-7056
A-027,PCI identity mapping,1002:1586 revision c1,AMD/Linux PCI ID ecosystem,Official gfx1151 mapping + local PCI identity,gfx1151 maps to Ryzen AI Max family; exact PCI revision map not captured,Exact silicon/revision applicability,[OPEN],,[OPEN],Low,Unresolved,"Collect subsystem vendor/device, class, VBIOS, CPUID, IP discovery; request AMD/OEM confirmation if revision-level service action is contemplated",AMD-ROCM-GFX1151-MATRIX; KERNEL-SOURCE-AMDGPU-DISCOVERY
