source_id,authority,title,url,access_date,source_type,capture_path,applicability,confidence,reuse
AMD-SB-6024,AMD Product Security,"AMD-SB-6024 — AMD Graphics Driver Vulnerabilities, February 2026",https://www.amd.com/en/resources/product-security/bulletin/amd-sb-6024.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-6024.md,[FAMILY_APPLIES] [FIX_AVAILABLE],High for AMD family mapping; Medium for exact installed stack,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-6027,AMD Product Security,AMD-SB-6027 — AMD Graphics Driver Vulnerability,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-6027.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-6027.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-6010,AMD Product Security,AMD-SB-6010 — GPU memory information disclosure,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-6010.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-6010.md,[FAMILY_APPLIES] [FIX_AVAILABLE],Medium,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-6013,AMD Product Security,AMD-SB-6013 — GPU register information disclosure,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-6013.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-6013.md,[FAMILY_APPLIES] [FIX_AVAILABLE],Medium,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-4016,AMD Product Security,AMD-SB-4016 — AMD RAID software vulnerabilities,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-4016.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-4016.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High if AMD RAID is installed; otherwise conditional,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-7056,AMD Product Security,AMD-SB-7056 — PCIe specification-related issue,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-7056.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-7056.md,[NOT_LISTED_FOR_TARGET],High for captured list; no unaffected conclusion,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-ROCM-STRIXHALO-SYSOPT,AMD ROCm documentation,System optimization for Strix Halo,https://rocm.docs.amd.com/en/docs-7.2.0/how-to/system-optimization/strixhalo.html,2026-07-18,Official technical documentation,02_amd_product_security/sources/AMD-ROCM-STRIXHALO-SYSOPT.md,[EXPLICITLY_APPLIES],High,AMD ROCm documentation is generally provided under its documented site/repository terms; preserve attribution and inspect the source license before redistribution beyond this evidence pack.
AMD-ROCM-GFX1151-MATRIX,AMD ROCm documentation,Ryzen AI Max graphics target mapping,https://rocm.docs.amd.com/en/latest/compatibility/compatibility-matrix.html,2026-07-18,Official compatibility documentation,02_amd_product_security/sources/AMD-ROCM-GFX1151-MATRIX.md,[EXPLICITLY_APPLIES],High,AMD ROCm documentation; retain attribution and source URL. No additional license conclusion is inferred here.
LVFS-PULP-MANIFEST,Linux Vendor Firmware Service,LVFS public PULP_MANIFEST and literal target search,https://cdn.fwupd.org/downloads/PULP_MANIFEST,2026-07-18,Official public repository manifest; raw artifact preserved,03_firmware_supply/sources/LVFS-PULP-MANIFEST.md,[OFFICIAL] [OPEN],High for literal filename search; Low for device applicability,LVFS public firmware is intended for redistribution/mirroring under vendor metadata and firmware-specific licenses. Individual payload licenses must be checked; this raw manifest is retained with source attribution.
LVFS-UPLOAD-SIGNING,LVFS documentation,"LVFS upload, detached signing, and remote visibility model",https://lvfs.readthedocs.io/en/latest/upload.html,2026-07-18,Official project documentation,03_firmware_supply/sources/LVFS-UPLOAD-SIGNING.md,[OFFICIAL],High,LVFS documentation © Richard Hughes / project contributors; factual extract with attribution. Check site/source license for broader reuse.
FWUPD-ONLYTRUSTED,fwupd project documentation,fwupd OnlyTrusted and Jcat trust semantics,https://fwupd.github.io/libfwupdplugin/only-trusted.html,2026-07-18,Official project documentation,03_firmware_supply/sources/FWUPD-ONLYTRUSTED.md,[OFFICIAL],High,fwupd project documentation; source examples carry LGPL-2.1-or-later notices. Retain attribution and license notices.
FWUPD-VERSION-GATES,fwupd project documentation,"fwupd device GUID, minimum version, and bootloader gates",https://fwupd.github.io/libfwupdplugin/tutorial.html,2026-07-18,Official project documentation,03_firmware_supply/sources/FWUPD-VERSION-GATES.md,[OFFICIAL],High,fwupd project documentation and examples include LGPL-2.1-or-later notices; retain attribution and license notices.
LINUX-FIRMWARE-MAIN,linux-firmware upstream,linux-firmware main branch snapshot,https://kernel.googlesource.com/pub/scm/linux/kernel/git/firmware/linux-firmware/+/refs/heads/main,2026-07-18,Official upstream repository,03_firmware_supply/sources/LINUX-FIRMWARE-MAIN.md,[FAMILY_APPLIES],High for repository state; Medium for loaded target firmware,linux-firmware blobs are redistributable under per-vendor license files and WHENCE entries; source tree metadata must accompany redistribution.
LINUX-FIRMWARE-WHENCE-AMD,linux-firmware upstream,linux-firmware WHENCE and AMDGPU license/provenance,https://kernel.googlesource.com/pub/scm/linux/kernel/git/firmware/linux-firmware/+/refs/heads/main/WHENCE,2026-07-18,Official upstream repository metadata,03_firmware_supply/sources/LINUX-FIRMWARE-WHENCE-AMD.md,[FAMILY_APPLIES],Medium,Redistribution governed by `LICENSE.amdgpu` and WHENCE. Preserve license and provenance files with blobs.
CRUCIAL-P310-PRODUCT-FLYER,Crucial / Micron,Crucial P310 2230 product flyer,https://assets.micron.com/adobe/assets/urn%3Aaaid%3Aaem%3A6b396995-e6da-4bad-9762-cf9e7e94dd5d/renditions/original/as/crucial-P310-2230-b2c-product-flyer-en-combination.pdf,2026-07-18,Official vendor PDF; raw artifact preserved,04_storage_crucial_micron/sources/CRUCIAL-P310-PRODUCT-FLYER.md,[FAMILY_APPLIES],High for product specs; Medium for exact installed part,"© 2024 Micron Technology, Inc. All rights reserved. Raw PDF retained for evidentiary use; no redistribution license inferred."
CRUCIAL-P310-SUPPORT,Crucial official support,Crucial P310 SSD support page,https://www.crucial.com/support/ssd-support/p310-support,2026-07-18,Official support index; normalized search capture,04_storage_crucial_micron/sources/CRUCIAL-P310-SUPPORT.md,[FAMILY_APPLIES] [NO_PUBLIC_PACKAGE],Medium because direct page rejected automated access,Crucial/Micron content; no reuse license inferred. Factual indexed extract only.
CRUCIAL-STORAGE-EXECUTIVE-FAQ,Crucial official support,Crucial Storage Executive FAQ,https://www.crucial.com/support/articles-faq-ssd/storage-executive-faq,2026-07-18,Official support index; normalized search capture,04_storage_crucial_micron/sources/CRUCIAL-STORAGE-EXECUTIVE-FAQ.md,[FAMILY_APPLIES],Medium,Crucial/Micron content; no reuse license inferred. Factual indexed extract only.
KERNEL-PCIE-AER,Linux kernel documentation,PCI Express Advanced Error Reporting driver guide,https://docs.kernel.org/PCI/pcieaer-howto.html,2026-07-18,Official upstream documentation,05_kernel_ras/sources/KERNEL-PCIE-AER.md,[SUPPORTED_IF_PRESENT],High for interface; Medium for target capability,Linux kernel documentation; source documentation follows kernel licensing terms. Preserve copyright and attribution.
KERNEL-EDAC-DOC,Linux kernel documentation,Error Detection and Correction devices,https://docs.kernel.org/driver-api/edac.html,2026-07-18,Official upstream documentation,05_kernel_ras/sources/KERNEL-EDAC-DOC.md,[SUPPORTED_IF_PRESENT],High for taxonomy; Low for exact target exposure,Linux kernel documentation under kernel documentation licensing terms; preserve attribution.
KERNEL-X86-MCA,Linux kernel documentation,x86-64 machine-check interface,https://docs.kernel.org/arch/x86/x86_64/machinecheck.html,2026-07-18,Official upstream documentation,05_kernel_ras/sources/KERNEL-X86-MCA.md,[SUPPORTED_IF_PRESENT],High for generic x86 behavior; Low for exact bank decoding,Linux kernel documentation under kernel documentation licensing terms; preserve attribution.
KERNEL-AMDGPU-RAS-DOC,Linux kernel documentation,AMDGPU RAS support interfaces,https://docs.kernel.org/gpu/amdgpu/ras.html,2026-07-18,Official upstream documentation,05_kernel_ras/sources/KERNEL-AMDGPU-RAS-DOC.md,[SUPPORTED_IF_PRESENT],High for interface; Low for target block support,Linux kernel documentation; preserve attribution and source license.
KERNEL-USB4-THUNDERBOLT,Linux kernel documentation,USB4 and Thunderbolt security and NVM update authority,https://docs.kernel.org/admin-guide/thunderbolt.html,2026-07-18,Official upstream documentation,05_kernel_ras/sources/KERNEL-USB4-THUNDERBOLT.md,[SUPPORTED_IF_PRESENT],High for interface; Low for exact controller,Linux kernel documentation; preserve attribution and source license.
KERNEL-SOURCE-AMD64-EDAC,Linux kernel upstream source,amd64_edac source at commit 94515f3a,https://github.com/torvalds/linux/blob/94515f3a7d4256a5062176b7d6ed0471938cd51a/drivers/edac/amd64_edac.c,2026-07-18,Official upstream source capture,05_kernel_ras/sources/KERNEL-SOURCE-AMD64-EDAC.md,[UNKNOWN],Medium,Linux kernel source is GPL-2.0-only with documented exceptions; module declares GPL. Preserve license and copyright.
KERNEL-SOURCE-AMDGPU-RAS,Linux kernel upstream source,amdgpu_ras source at commit 94515f3a,https://github.com/torvalds/linux/blob/94515f3a7d4256a5062176b7d6ed0471938cd51a/drivers/gpu/drm/amd/amdgpu/amdgpu_ras.c,2026-07-18,Official upstream source capture,05_kernel_ras/sources/KERNEL-SOURCE-AMDGPU-RAS.md,[UNKNOWN],Medium,File carries the MIT-style AMD permission notice; preserve copyright and license text.
KERNEL-SOURCE-AMDGPU-DISCOVERY,Linux kernel upstream source,amdgpu IP discovery source at commit 94515f3a,https://github.com/torvalds/linux/blob/94515f3a7d4256a5062176b7d6ed0471938cd51a/drivers/gpu/drm/amd/amdgpu/amdgpu_discovery.c,2026-07-18,Official upstream source capture,05_kernel_ras/sources/KERNEL-SOURCE-AMDGPU-DISCOVERY.md,[FAMILY_APPLIES],High for mechanism,File carries the MIT-style AMD permission notice; preserve copyright and license text.
