section_id,category_id,category_title,title,target_path,focus
11,03,Repository and Engineering,"Repository Lineage, Branches, Commits, and Frozen Baselines",03_Repository_and_Engineering/11_Repository_Lineage_Branches_Commits_and_Frozen_Baselines,"Map the relationships among fewtarius/llama-ai, fewtarius/CachyLLama, charlie12345/ROCmFPX, and ggml-org/llama.cpp. Record default branches, relevant commits, submodules, release tags, divergence, active development areas, and a procedure for freezing reproducible project baselines."
12,03,Repository and Engineering,Codebase Architecture and Module Map,03_Repository_and_Engineering/12_Codebase_Architecture_and_Module_Map,"Create a source-level map of llama.cpp and the two forks: model loading, GGUF, ggml backends, scheduler, server, RPC, KV cache, state serialization, speculative decoding, quantization, HIP, Vulkan, tests, scripts, and packaging. Identify key files, call paths, extension points, ownership boundaries, and coupling risks."
13,03,Repository and Engineering,"ROCmFPX Feature, Kernel, Format, and Patch Inventory",03_Repository_and_Engineering/13_ROCmFPX_Feature_Kernel_Format_and_Patch_Inventory,"Inventory ROCmFPX weight types, quantization presets, CPU references, HIP kernels, Vulkan kernels, MTP support, TurboQuant KV support, conversion scripts, model capability detection, serving wrappers, tests, benchmarks, and project-specific patches. Note maturity, dependencies, known limitations, and likely conflicts with upstream."
14,03,Repository and Engineering,llama-ai and CachyLLama Feature and Patch Inventory,03_Repository_and_Engineering/14_llama_ai_and_CachyLLama_Feature_and_Patch_Inventory,"Inventory persistent SSD KV behavior, system-prompt cache, hot/warm/cold tiers, continuation matching, user isolation, slot affinity, concurrency controls, recurrent and MTP state handling, model profiles, expert telemetry, runner scripts, server changes, tests, and known correctness or performance limitations."
15,03,Repository and Engineering,Integration Patch Stack and Upstream Synchronization Strategy,03_Repository_and_Engineering/15_Integration_Patch_Stack_and_Upstream_Synchronization_Strategy,"Design the fork structure and patch stacks for upstream llama.cpp, ROCmFPX, selected CachyLLama semantics, Halo fabric, HaloKV, and product code. Define rebase or merge cadence, conflict policy, cherry-pick rules, patch ownership, upstream contribution strategy, bisectability, and how to avoid a permanently unmaintainable fork."
16,03,Repository and Engineering,"Build, Dependencies, Licensing, CI, and AI-Agent Workflow",03_Repository_and_Engineering/16_Build_Dependencies_Licensing_CI_and_AI_Agent_Workflow,"Document build systems, optional backends, compiler requirements, generated files, submodules, third-party dependencies, licenses, notices, CI jobs, regression gates, code style, commit conventions, review rules, and repository instructions for Codex or other coding agents. Include requirements for an append-only AI change log and reproducible build metadata."
17,04,Hardware and OS Platform,AMD Strix Halo SoC and gfx1151 Architecture,04_Hardware_and_OS_Platform/17_AMD_Strix_Halo_SoC_and_gfx1151_Architecture,"Research the Ryzen AI Max+ 395 and Radeon 8060S/gfx1151 architecture: CPU complexes, GPU compute units, memory controllers, caches, matrix capabilities, supported data types, media/NPU relevance, package I/O, power envelope, and documented ROCm or Vulkan support. Translate facts into inference-engine design implications."
18,04,Hardware and OS Platform,"Exact Machine BOM, BIOS, Firmware, Cabling, and Revisions",04_Hardware_and_OS_Platform/18_Exact_Machine_BOM_BIOS_Firmware_Cabling_and_Revisions,"Define a reproducible inventory for both machines: vendor and model, motherboard revision, RAM configuration, NVMe devices, USB4 controllers, BIOS settings, firmware versions, cables, power supplies, cooling, kernel-visible device IDs, and physical port labels. Provide a data-collection checklist and comparison table for confirming the pair is truly matched."
19,04,Hardware and OS Platform,"Unified Memory, GTT, GPUVM, IOMMU, and Allocation Limits",04_Hardware_and_OS_Platform/19_Unified_Memory_GTT_GPUVM_IOMMU_and_Allocation_Limits,"Explain Strix Halo shared memory, BIOS VRAM carve-outs, GTT, TTM, GPUVM, visible VRAM limits, host-pinned memory, page migration, IOMMU behavior, memory accounting, and failure modes. Identify which limits are physical versus mapping policy and define on-machine tests for allocation, bandwidth, faults, and contention."
20,04,Hardware and OS Platform,USB4 Physical Topology and Dual-Port Independence,04_Hardware_and_OS_Platform/20_USB4_Physical_Topology_and_Dual_Port_Independence,"Research USB4/Thunderbolt host-to-host topology on the exact systems: domains, NHI controllers, retimers, lane sharing, PCIe roots, interrupt routing, link generations, cable capabilities, security levels, and Linux device representation. Define tests to prove whether the two ports provide independent bandwidth and latency under simultaneous load."
21,04,Hardware and OS Platform,"NVMe and Storage Topology, Performance, and Endurance",04_Hardware_and_OS_Platform/21_NVMe_and_Storage_Topology_Performance_and_Endurance,"Document each NVMe device, PCIe generation and lane width, filesystem, mount options, queue behavior, thermal limits, firmware, SMART data, capacity allocation, and endurance. Define expected model and cache footprints plus measurements for aligned sequential I/O, random metadata access, concurrent GPU load, sustained writeback, and power-loss behavior."
22,04,Hardware and OS Platform,"Power, Thermals, Cooling, and Sustained Clocks",04_Hardware_and_OS_Platform/22_Power_Thermals_Cooling_and_Sustained_Clocks,"Document package power settings, BIOS power modes, CPU/GPU clocks, memory clocks, fan curves, thermal sensors, chassis airflow, ambient assumptions, throttling behavior, and power measurement methods. Define sustained tests that distinguish burst performance from 30–60 minute steady state and assess two-node efficiency."
23,04,Hardware and OS Platform,"Linux, Kernel, amdgpu, Firmware, ROCm, and Mesa Compatibility Matrix",04_Hardware_and_OS_Platform/23_Linux_Kernel_amdgpu_Firmware_ROCm_and_Mesa_Compatibility_Matrix,"Create a verified compatibility matrix for distributions, kernel versions, required USB4STREAM support, amdgpu fixes, firmware packages, ROCm releases, HIP/HSA behavior, Mesa/RADV versions, Vulkan extensions, compiler compatibility, and known Strix Halo defects. Separate production-supported, experimental, backported, and unverified combinations."
24,05,Performance Software and Tools,"HIP, HSA, RCCL, Memory Coherence, and Synchronization",05_Performance_Software_and_Tools/24_HIP_HSA_RCCL_Memory_Coherence_and_Synchronization,"Research HIP and HSA behavior on gfx1151: device memory, mapped pinned host memory, fine- and coarse-grained allocations, system-scope atomics and fences, streams, events, graph capture, queue behavior, peer limitations, profiling, and RCCL or network-plugin options. Identify APIs suitable for GPU-produced transport buffers and two-rank synchronization."
25,05,Performance Software and Tools,"Vulkan, RADV, Host-Visible Memory, and Synchronization",05_Performance_Software_and_Tools/25_Vulkan_RADV_Host_Visible_Memory_and_Synchronization,"Research RADV/Vulkan support relevant to inference: memory heaps and types, coherent and cached host-visible memory, external memory, timeline semaphores, buffer device addresses, command reuse, descriptor overhead, pipeline caching, shader compilation, subgroup features, and synchronization. Compare feasibility with HIP for distributed token-path execution."
26,05,Performance Software and Tools,"Compiler, CMake, Linker, and Reproducible Toolchain",05_Performance_Software_and_Tools/26_Compiler_CMake_Linker_and_Reproducible_Toolchain,"Specify supported Clang/LLVM, GCC, HIP compiler, shader compiler, CMake, Ninja, Python, linker, and packaging versions. Document architecture flags, LTO, PGO, sanitizer builds, debug symbols, deterministic builds, build presets, generated artifacts, dependency locking, and how every binary records its source commit and toolchain fingerprint."
27,05,Performance Software and Tools,"Profiling, Tracing, Debugging, and Hardware-Counter Collection",05_Performance_Software_and_Tools/27_Profiling_Tracing_Debugging_and_Hardware_Counter_Collection,"Catalog tools and procedures for CPU, GPU, kernel, USB4, network, filesystem, and NVMe profiling. Cover rocprof/rocprofiler, Radeon GPU Profiler where applicable, Vulkan tooling, perf, ftrace, eBPF, trace-cmd, blktrace, iostat, SMART, scheduler traces, flame graphs, crash dumps, and synchronized two-host timelines."
28,05,Performance Software and Tools,"Host System Tuning: CPU, IRQ, Scheduler, Cgroups, and Filesystems",05_Performance_Software_and_Tools/28_Host_System_Tuning_CPU_IRQ_Scheduler_Cgroups_and_Filesystems,"Research and document governors, boost settings, CPU affinity, isolated cores, IRQ affinity, RPS/XPS, scheduler policy, real-time priorities, memory locking, swap, huge pages, dirty-page settings, cgroups, ulimits, filesystem mount options, NVMe queue settings, and service isolation. Require reversible tuning scripts and before/after evidence."
29,06,"Models, Quantization, and Inference",Target Model Catalog and Architecture Support Matrix,06_Models_Quantization_and_Inference/29_Target_Model_Catalog_and_Architecture_Support_Matrix,"Build a model catalog for intended dense, MoE, GQA, MLA, sliding-window, Mamba, SSM, hybrid, MTP, coding, tool-use, and long-context models. Record architecture, parameter count, active parameters, layers, hidden size, heads, context, weight size by quant, KV bytes per token, special state, license, conversion status, backend support, and validation status."
30,06,"Models, Quantization, and Inference",ROCmFPX Weight Formats and Quantization Recipes,06_Models_Quantization_and_Inference/30_ROCmFPX_Weight_Formats_and_Quantization_Recipes,"Document ROCmFP3/4/6/8 layouts, block sizes, scale encodings, FAST, STRIX_LEAN, COHERENT, AGENT, and other presets, protected tensor policies, expected bits per weight, kernel support, model compatibility, and known quality risks. Distinguish weight quantization from KV-cache quantization and record exact GGUF type identifiers."
31,06,"Models, Quantization, and Inference","Conversion, Imatrix, Calibration, and Quality Validation",06_Models_Quantization_and_Inference/31_Conversion_Imatrix_Calibration_and_Quality_Validation,"Document end-to-end conversion from source checkpoints to BF16/F16 GGUF and ROCmFPX quants, including tokenizer metadata, architecture-specific conversion, imatrix creation and use, calibration corpora, tensor routing, checksums, failure recovery, disk requirements, and quality comparisons against source models. Include reproducible commands and acceptance thresholds."
32,06,"Models, Quantization, and Inference","llama.cpp Model Loading, Graph Construction, and Backend Lifecycle",06_Models_Quantization_and_Inference/32_llama_cpp_Model_Loading_Graph_Construction_and_Backend_Lifecycle,"Explain the current engine path from GGUF open through tensor placement, backend buffer allocation, graph building, scheduler execution, prompt evaluation, decode, state serialization, sampling, and server slots. Identify where persistent rank graphs, distributed buffers, cache restore, and instrumentation can be integrated with minimal churn."
33,06,"Models, Quantization, and Inference","Attention Variants, KV Layouts, FlashAttention, and TurboQuant",06_Models_Quantization_and_Inference/33_Attention_Variants_KV_Layouts_FlashAttention_and_TurboQuant,"Document standard MHA, GQA, MLA, sliding-window/global attention, RoPE variants, FlashAttention paths, KV tensor layouts, cache sizing, K/V quantization types, asymmetric TurboQuant options, boundary-layer protections, cache shifting, and backend-specific constraints. Derive sharding and persistent-cache implications per architecture."
34,06,"Models, Quantization, and Inference","MoE Routing, Expert Telemetry, and Expert Placement Inputs",06_Models_Quantization_and_Inference/34_MoE_Routing_Expert_Telemetry_and_Expert_Placement_Inputs,"Document router computation, top-k selection, shared experts, expert tensor structure, active-parameter cost, batch behavior, current llama.cpp MoE kernels, CachyLLama expert telemetry, and model-specific routing patterns. Define the telemetry and statistics needed to balance experts and decide which hot experts to replicate."
35,06,"Models, Quantization, and Inference","Recurrent, Mamba, SSM, Hybrid, and State-Shift Semantics",06_Models_Quantization_and_Inference/35_Recurrent_Mamba_SSM_Hybrid_and_State_Shift_Semantics,"Document recurrent and state-space model execution, recurrent-state representation, attention/recurrent interleaving, cache-clear and context-shift semantics, checkpoint validity, sequence operations, and known model-specific behavior. Identify all state that must be captured, versioned, sharded, and restored without corrupting continuation."
36,06,"Models, Quantization, and Inference","Native MTP, External Draft Models, and Speculative Decoding",06_Models_Quantization_and_Inference/36_Native_MTP_External_Draft_Models_and_Speculative_Decoding,"Document native MTP/NextN heads, target verification, external draft models, acceptance metrics, context-dependent tuning, sampling constraints, state serialization, multi-rank implications, and workload sensitivity. Define a test matrix comparing no speculation, native MTP, and a second-node draft model with identical quality."
37,06,"Models, Quantization, and Inference",gfx1151 HIP and Vulkan Kernel Optimization Opportunities,06_Models_Quantization_and_Inference/37_gfx1151_HIP_and_Vulkan_Kernel_Optimization_Opportunities,"Create a prioritized kernel optimization map for prompt fill and decode: ROCmFPX dequant GEMV/GEMM, fused QKV, RoPE, attention, row-parallel reductions, residual and normalization fusion, FFN gate/up/down, MoE kernels, MTP verification, graph reuse, memory layout, launch overhead, and architecture-specific vector/subgroup tuning."
38,07,Distributed Runtime,"Distributed Runtime Goals, Cost Model, and Mode Selection",07_Distributed_Runtime/38_Distributed_Runtime_Goals_Cost_Model_and_Mode_Selection,"Define latency, throughput, and capacity objectives and a quantitative cost model for replication, remote speculation, tensor parallelism, pipeline parallelism, and MoE hybrid execution. Include compute, collective, transfer, queueing, cache, and jitter terms plus break-even rules based on p99 measurements rather than theoretical bandwidth."
39,07,Distributed Runtime,"Coordinator, Rank Worker, Session, and Persistent-Graph Architecture",07_Distributed_Runtime/39_Coordinator_Rank_Worker_Session_and_Persistent_Graph_Architecture,"Design the coordinator and rank-worker processes, responsibilities, startup handshake, model-shard validation, session ownership, tokenizer and sampler placement, graph lifetime, buffer lifetime, command flow, health state, and shutdown. Define which data and decisions are global, rank-local, session-local, or request-local."
40,07,Distributed Runtime,"Full Replication, Request Routing, and Session Affinity",07_Distributed_Runtime/40_Full_Replication_Request_Routing_and_Session_Affinity,"Specify the mode in which both machines hold full models and independently serve requests. Cover load balancing, warm-cache session affinity, capacity accounting, model placement, failover, cache ownership, model diversity, concurrency, and when replication should be preferred over tightly coupled execution."
41,07,Distributed Runtime,Remote Draft-Node Speculation,07_Distributed_Runtime/41_Remote_Draft_Node_Speculation,"Design second-node draft-model execution: draft model selection, token proposal messages, target verification, sampling semantics, synchronization, rollback, acceptance tracking, cache placement, context transfer, batching, failure fallback, and comparison with native MTP. Minimize fabric traffic to tokens and compact probability metadata."
42,07,Distributed Runtime,Two-Way Tensor Parallelism and Collective Placement,07_Distributed_Runtime/42_Two_Way_Tensor_Parallelism_and_Collective_Placement,"Design two-rank tensor sharding for QKV, attention heads, output projection, FFN gate/up/down, embeddings, output head, and architecture variants. Identify exact collectives per layer, payload sizes, fusion opportunities, buffer reuse, quantized weight placement, KV ownership, prefill versus decode behavior, and latency break-even conditions."
43,07,Distributed Runtime,Contiguous Layer Pipeline Parallelism and Microbatching,07_Distributed_Runtime/43_Contiguous_Layer_Pipeline_Parallelism_and_Microbatching,"Design contiguous layer partitioning, activation transfer, token and sampler placement, stage balancing, pipeline bubbles, continuous batching, microbatch scheduling, KV ownership, long-prefill handling, model loading, and failure recovery. Clarify that pipeline mode primarily increases capacity unless enough concurrent sequences permit overlap."
44,07,Distributed Runtime,MoE-Aware Hybrid Distribution and Hot-Expert Replication,07_Distributed_Runtime/44_MoE_Aware_Hybrid_Distribution_and_Hot_Expert_Replication,"Design a two-node MoE plan combining attention sharding or layer pipeline with static expert placement, telemetry-driven balancing, hot-expert replication, cold-expert partitioning, shared experts, router placement, reconfiguration boundaries, and memory constraints. Compare hidden-vector exchange with token-wise all-to-all designs."
45,07,Distributed Runtime,"Persistent Rank Protocol, Command Rings, and Graph Reuse",07_Distributed_Runtime/45_Persistent_Rank_Protocol_Command_Rings_and_Graph_Reuse,"Specify a low-overhead rank protocol that preloads model shards, retains graphs, preallocates buffers, uses fixed-size descriptors and sequence numbers, and avoids graph serialization or allocation on the token path. Define command rings, completions, epochs, cancellation, timeout, protocol versioning, telemetry, and recovery after desynchronization."
46,07,Distributed Runtime,"Scheduler, Continuous Batching, Backpressure, and Concurrency",07_Distributed_Runtime/46_Scheduler_Continuous_Batching_Backpressure_and_Concurrency,"Design request admission, slot allocation, sequence batching, prompt/decode scheduling, pipeline overlap, cache-aware placement, user limits, fairness, backpressure, cancellation, streaming, priority, and overload behavior across one or two ranks. Define scheduling metrics and invariants that preserve correctness under mixed workloads."
47,07,Distributed Runtime,"Topology Planner, Autotuner, and HIP-versus-Vulkan Selection",07_Distributed_Runtime/47_Topology_Planner_Autotuner_and_HIP_versus_Vulkan_Selection,"Design the planner that benchmarks and selects execution mode, split points, backend, collective policy, cache layout, MTP settings, batch sizes, and power profile per model and objective. Define input measurements, confidence rules, safety margins, plan manifests, retuning triggers, rollback, and avoidance of overfitting."
48,07,Distributed Runtime,"Distributed Correctness, Determinism, Fault Recovery, and Degraded Mode",07_Distributed_Runtime/48_Distributed_Correctness_Determinism_Fault_Recovery_and_Degraded_Mode,"Define numerical and state correctness across ranks, deterministic test modes, sequence ownership, collective ordering, cancellation, timeout, partial failure, worker restart, cable loss, one-link operation, model mismatch, cache mismatch, resynchronization, request replay, and rules for falling back to a safe single-node or replicated mode."
49,08,Fabric and Transport,Fabric Requirements and Transport Abstraction,08_Fabric_and_Transport/49_Fabric_Requirements_and_Transport_Abstraction,"Define the transport API and nonfunctional requirements for control messages, small decode collectives, large prefill activations, model setup, cache coordination, health, and diagnostics. Specify latency, bandwidth, ordering, reliability, cancellation, buffer registration, async progress, multipath, fallback, versioning, and observability requirements."
50,08,Fabric and Transport,USB4STREAM and thunderbolt-net Implementation Options,08_Fabric_and_Transport/50_USB4STREAM_and_thunderbolt_net_Implementation_Options,"Document Linux USB4 host-to-host networking and direct USB4STREAM interfaces, device discovery, configfs setup, HopIDs, ring size, interrupt throttling, frame limits, read/write/poll semantics, security authorization, coexistence, kernel versions, and operational setup. Compare direct streams with TCP over thunderbolt-net for the project."
51,08,Fabric and Transport,Existing ggml RPC and ROCmFPX RDMA Transport Audit,08_Fabric_and_Transport/51_Existing_ggml_RPC_and_ROCmFPX_RDMA_Transport_Audit,"Audit current ggml RPC and ROCmFPX transport code: handshake, commands, tensor transfer, hash cache, graph serialization and reuse, synchronous operations, RDMA buffers, registration, chunking, polling, protocol limitations, and useful reusable components. Identify what is suitable for bring-up versus what must be replaced."
52,08,Fabric and Transport,"Dual-Link Multipath: Striping, Alternation, Hedging, and Failover",08_Fabric_and_Transport/52_Dual_Link_Multipath_Striping_Alternation_Hedging_and_Failover,"Design and compare application-level policies for two USB4 links: best-link selection, direction separation, alternating collectives, proportional striping, latency hedging, health scoring, packet reordering, sequence handling, reconnect, and one-link degradation. Define workloads and metrics that determine the policy per message size."
53,08,Fabric and Transport,"Message Framing, Credits, Flow Control, Integrity, and Security",08_Fabric_and_Transport/53_Message_Framing_Credits_Flow_Control_Integrity_and_Security,"Specify wire frames, headers, message types, sequence numbers, epochs, checksums, authentication assumptions, optional encryption, credit-based flow control, batching, fragmentation, reassembly, priority lanes, cancellation, timeout, replay protection, malformed-message handling, and compatibility negotiation for a trusted but robust two-host link."
54,08,Fabric and Transport,"GPU-Visible Buffers, Coherence, Copies, and Zero-Copy Options",08_Fabric_and_Transport/54_GPU_Visible_Buffers_Coherence_Copies_and_Zero_Copy_Options,"Research end-to-end buffer paths from GPU production to USB4 transmission and peer GPU consumption. Compare HIP mapped host allocations, Vulkan host-visible buffers, CPU staging, kernel page copies, DMA-BUF, fixed registered pages, mmap, and io_uring. Define memory barriers, ownership transitions, measurement methods, and correctness hazards."
55,08,Fabric and Transport,Fabric Microbenchmark Plan and USB4 Kernel-Patch Decision,08_Fabric_and_Transport/55_Fabric_Microbenchmark_Plan_and_USB4_Kernel_Patch_Decision,"Create the complete microbenchmark program for message sizes, queue depths, directions, both links, latency percentiles, bandwidth, jitter, CPU cost, interrupts, GPU and NVMe contention, and GPU-to-peer-GPU latency. Define explicit evidence thresholds for retaining upstream interfaces or developing registered-buffer USB4 kernel extensions."
56,09,HaloKV Persistent Cache,CachyLLama Cache Semantics and Porting Map,09_HaloKV_Persistent_Cache/56_CachyLLama_Cache_Semantics_and_Porting_Map,"Map every CachyLLama cache behavior to retain, redesign, or reject: conversation checkpoints, system-prompt cache, prefix matching, hot/warm/cold tiers, slot lookup, continuation discovery, user namespaces, retention, prefetch, compatibility hashes, MTP/speculative blobs, and recurrent-state handling. Identify source files and integration hooks."
57,09,HaloKV Persistent Cache,"Compatibility Fingerprints, Versioning, and Topology Identity",09_HaloKV_Persistent_Cache/57_Compatibility_Fingerprints_Versioning_and_Topology_Identity,"Design strong compatibility fingerprints covering model bytes, GGUF metadata, tokenizer, chat template, architecture, RoPE settings, KV types, quant types, backend ABI, state schema, rank count, topology plan, shard ranges, and software commits. Define migration, rejection, diagnostic messages, and collision-resistant hashing."
58,09,HaloKV Persistent Cache,Rank-Local Ownership and Distributed Restore Coordination,09_HaloKV_Persistent_Cache/58_Rank_Local_Ownership_and_Distributed_Restore_Coordination,"Specify how tensor-parallel, pipeline, replication, and MoE plans determine rank-local KV and recurrent-state ownership. Design checkpoint IDs, local manifests, readiness coordination, suffix replay, two-rank restore, topology mismatch behavior, independent NVMe reads, failover, and rules preventing multi-gigabyte cache transfers over USB4."
59,09,HaloKV Persistent Cache,"Immutable Pages, Segment Files, Indexes, and Prefix DAG",09_HaloKV_Persistent_Cache/59_Immutable_Pages_Segment_Files_Indexes_and_Prefix_DAG,"Design the on-disk data model: page sizing, alignment, immutable extents, append-only segments, headers, checksums, indexes, WAL or journal, token ranges, parent links, prefix radix tree or DAG, copy-on-write branches, segment compaction, mmap versus I/O, and crash-safe publication. Include format diagrams and schemas."
60,09,HaloKV Persistent Cache,"System-Prompt Sharing, Deduplication, Copy-on-Write, and Continuations",09_HaloKV_Persistent_Cache/60_System_Prompt_Sharing_Deduplication_Copy_on_Write_and_Continuations,"Design global system/tool prefix reuse, content addressing, token verification, shared page references, conversation branching, cross-session continuation, user-boundary rules, expiry, cache poisoning defenses, longest-prefix lookup, and copy-on-write tail handling. Clarify when sharing is safe and when privacy or model semantics require isolation."
61,09,HaloKV Persistent Cache,"Attention KV, Recurrent, MTP, Speculative, Sampling, and RNG State",09_HaloKV_Persistent_Cache/61_Attention_KV_Recurrent_MTP_Speculative_Sampling_and_RNG_State,"Enumerate all state required for exact continuation across dense attention, MLA, sliding window, Mamba/SSM hybrids, native MTP, external speculation, samplers, grammar constraints, RNG, logits processors, and server sequence metadata. Define independent versioned streams and atomic restore requirements."
62,09,HaloKV Persistent Cache,"Async I/O, io_uring, Prefetch, DRAM Tiers, and GPU Mapping",09_HaloKV_Persistent_Cache/62_Async_I_O_io_uring_Prefetch_DRAM_Tiers_and_GPU_Mapping,"Design nonblocking read and write pipelines, io_uring usage, buffered versus direct I/O, registered buffers, read-ahead, prefetch triggered by tokenization, writeback after streaming begins, memory budgets, active and warm DRAM tiers, page-cache residency, GPU mapping, cancellation, queue depth, and contention control."
63,09,HaloKV Persistent Cache,"Durability Modes, Atomic Commit, Crash Recovery, and Corruption Handling",09_HaloKV_Persistent_Cache/63_Durability_Modes_Atomic_Commit_Crash_Recovery_and_Corruption_Handling,"Specify performance, turn-durable, and strict durability modes; rank-local data writes; two-phase manifest commit; fsync or barrier policy; power-loss behavior; torn writes; checksums; recovery scans; partial-rank failure; stale generations; quarantine; rebuild; and the rule that cache failure causes recomputation, never incorrect state."
64,09,HaloKV Persistent Cache,"Eviction, Garbage Collection, Quotas, User Isolation, and Privacy",09_HaloKV_Persistent_Cache/64_Eviction_Garbage_Collection_Quotas_User_Isolation_and_Privacy,"Design reachability and recency-based eviction, segment garbage collection, storage budgets, per-model and per-user quotas, pinned prefixes, active-session protection, write amplification limits, background work throttling, tenant namespaces, secure deletion expectations, observability, and behavior under disk pressure."
65,09,HaloKV Persistent Cache,"Cache Inspection, Migration, Benchmarking, Write Amplification, and SSD Endurance",09_HaloKV_Persistent_Cache/65_Cache_Inspection_Migration_Benchmarking_Write_Amplification_and_SSD_Endurance,"Define administration and analysis tools for listing, validating, exporting, importing, migrating, compacting, deleting, and measuring cache entries. Specify benchmark matrices for restore, store, hit rate, lookup, concurrent I/O, long contexts, power loss, and endurance, including write-amplification accounting and SMART monitoring."
66,10,"Product, Server, and Operations","OpenAI-Compatible API, Server Semantics, and Error Model",10_Product_Server_and_Operations/66_OpenAI_Compatible_API_Server_Semantics_and_Error_Model,"Document required chat, completions, responses, embeddings if included, streaming, tool calling, structured output, model listing, tokenization, health, metrics, and admin endpoints. Define request extensions for user identity, execution objective, cache policy, durability, plan hints, and deterministic testing plus stable errors and retry semantics."
67,10,"Product, Server, and Operations","Configuration, Hardware Profiles, Model Manifests, and Plan Manifests",10_Product_Server_and_Operations/67_Configuration_Hardware_Profiles_Model_Manifests_and_Plan_Manifests,"Design configuration precedence, schema validation, environment variables, CLI flags, secrets, machine profiles, model manifests, shard manifests, cache settings, transport settings, tuned execution plans, compatibility hashes, defaults, overrides, migrations, and redaction. Provide examples for single-node and two-node deployments."
68,10,"Product, Server, and Operations","Model Lifecycle, Session Lifecycle, Admission Control, and Routing",10_Product_Server_and_Operations/68_Model_Lifecycle_Session_Lifecycle_Admission_Control_and_Routing,"Specify model discovery, preload, shard validation, warmup, unload, replacement, memory reservations, session creation, continuation, expiry, cancellation, ownership, migration, admission control, queueing, user caps, routing, degraded operation, and model-specific plan selection."
