capability,area,fork_implementation,upstream_status,decision,action,sources
Strict greedy HY3 target verification,MTP / speculative decoding,Single-row target verification intended to keep greedy output token-exact; explicit opt-out and slot restriction.,No equivalent fork-specific strict mode was identified in the pinned upstream snapshot.,RETAIN,Re-port as a small upstream-based feature with deterministic token-equivalence tests.,S-C-7D7;S-SERVER-CTX;S-SPEC-UP
Per-request speculative n_min/n_max/p_min,Server,Request parser clamps and applies overrides per task.,Pinned upstream schema contains speculative request fields behind disabled code.,RETAIN,Port the request contract into current server schema/task plumbing and keep API tests.,S-C-B56;S-SERVER-TASK;S-SERVER-SCHEMA-UP
SSD-backed prompt cache with speculative state,Server / cache,"Target+draft context persistence, speculative-state serialization, size accounting, failure handling, UTF-8 paths, and cleanup.",No equivalent complete server feature was identified in the pinned upstream snapshot.,REFRESH,"Preserve capability but redesign on current upstream state APIs; add versioned cache format, integrity, permissions, and compatibility checks.",S-C-C81;S-C-BB7;S-C-756;S-C-0D7;S-SERVER-CTX;S-SERVER-TEST
Automatic one-slot policy for strict HY3,Server,Architecture inspection changes automatic parallel-slot selection.,Policy is fork-specific and coupled to strict mode.,REFRESH,Prefer an explicit warning/config constraint over a hidden default; retain only if multi-slot correctness tests require it.,S-C-276;S-SERVER-CTX
RPC protocol implementation,RPC,No PR #27/#31/#32 file delta under ggml/src/ggml-rpc; custom type IDs travel through the generic integer tensor-type field.,"Upstream has newer MTP multi-context, Strix iGPU+RPC selection, operation/version, and hardening changes.",RETIRE,Replace RPC wholesale with current upstream. Maintain only same-build custom-type round-trip/handshake tests; do not fork the wire protocol.,S-RPC-FORK;S-RPC-UP;S-PR27-FILES;S-PR32-FILES;S-RPC-MTP-FIX;S-RPC-IGPU-FIX;S-RPC-LIGHTNING
WebUI async/image repairs and provisioning patches,Server / WebUI,"Repairs to async message conversion, image URI regex, and CI asset provisioning.","Generic upstream code, unrelated to ROCmFPX format semantics.",RETIRE,Use current upstream WebUI and provisioning unmodified unless a current reproducer remains.,S-C-FF8;S-C-063;S-C-A8C;S-UP-HEAD
Hexagon/OpenCL/WebGPU source snapshots,Other backends,Large copied snapshots restored to an older upstream lineage for build coherence.,Current upstream contains newer backend trees.,RETIRE,Replace wholesale from upstream; add ROCmFPX hooks only where real backend support and tests exist.,S-C-807;S-PR27-FILES;S-UP-HEAD
"ROCmFPX correctness, register-quality, and real-backend gates",Build / CI,"Reference probes, backend matrices, HIP register gates, model coherency checks, and Strix benchmark scripts.",Upstream CI cannot cover fork-only formats or local Strix performance invariants.,RETAIN,Keep these as the acceptance contract; refresh workflow plumbing and separate correctness from benchmark evidence.,S-ROCMFPX-CI;S-HIP-QUALITY;S-SWEEP-BACKEND;S-BACKEND-TEST;S-C-848
Generic parser/Jinja/server formatting/Apple packaging backports,Portability,A collection of upstream backports and restored files.,All are generic upstream responsibilities and have newer upstream implementations.,RETIRE,Remove from the fork patch stack and inherit from current upstream.,S-C-8FC;S-C-D52;S-C-FE2;S-C-01D;S-UP-HEAD
Open draft PRs #29 and #30,Patch hygiene,Earlier SSD-cache/HY3-IFP2 proposals.,Their material capabilities were integrated and qualified through PR #32.,RETIRE,Close or label superseded; do not carry them as parallel patch stacks.,S-PR29;S-PR30;S-PR32
