path,category,classification,must_preserve,pr27,pr28,pr31,pr32,rationale
ggml/rocmfpx/rocmfp2_reference.h,Quantization formats,RETAIN,yes,,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/rocmfpx.c,Quantization formats,RETAIN,yes,yes,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/rocmfpx.h,Quantization formats,RETAIN,yes,,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/rocmfpx_hip_codebook.cuh,Quantization formats,RETAIN,yes,yes,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/test_rocmfp2_reference.c,Quantization formats,RETAIN,yes,,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/test_rocmfpx.c,Quantization formats,RETAIN,yes,yes,,,,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/src/ggml-cpu/ggml-cpu.c,CPU / ggml core,REFRESH,yes,yes,,,yes,Shared ggml registry/dispatch: preserve ROCmFPX type behavior while rebasing onto current upstream.
ggml/src/ggml-cpu/ops.cpp,CPU / ggml core,REFRESH,yes,yes,,,yes,Shared ggml registry/dispatch: preserve ROCmFPX type behavior while rebasing onto current upstream.
ggml/src/ggml-cuda/common.cuh,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/convert.cu,ROCm/HIP kernels,REFRESH,yes,,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/cpy-utils.cuh,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/cpy.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/cross-entropy-loss.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/dequantize.cuh,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/dsv4.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/fattn-common.cuh,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/fattn.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/getrows.cu,ROCm/HIP kernels,REFRESH,yes,,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/ggml-cuda.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/mmq.cu,ROCm/HIP kernels,REFRESH,yes,,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/mmq.cuh,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/mmvq.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/set-rows.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/softmax.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/template-instances/generate_cu_files.py,ROCm/HIP kernels,REFRESH,yes,,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/template-instances/mmq-instance-q2_0_rocmfpx.cu,ROCm/HIP kernels,REFRESH,yes,,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/topk-moe.cu,ROCm/HIP kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-cuda/vecdotq.cuh,ROCm/HIP kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-hexagon/ggml-hexagon.cpp,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp-opnode.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/CMakeLists.txt,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/argsort-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/concat-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/cpy-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/flash-attn-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/get-rows-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hex-dma.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hex-profile.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hex-utils.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-flash-attn-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-matmul-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-ops.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-profile.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-queue.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hmx-queue.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/htp-ctx.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/htp-ops.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hvx-flash-attn.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hvx-log.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hvx-pow.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hvx-sin-cos.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/hvx-utils.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/main.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/matmul-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/pad-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/rope-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/set-rows-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/ssm-conv.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/htp/unary-ops.c,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-hexagon/op-desc.h,Hexagon,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-metal/ggml-metal-device.m,Metal,RETIRE,no,yes,,,,Generic capability-reporting repair; current upstream is the source of truth.
ggml/src/ggml-opencl/CMakeLists.txt,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/ggml-opencl.cpp,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/concat.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/cpy.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/cvt.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_mxfp4_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q4_0_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q4_1_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q4_k_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q5_0_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q5_1_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q5_k_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_moe_q6_k_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_noshuffle_q5_0_f32.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemm_noshuffle_q5_1_f32.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_mxfp4_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q4_0_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q4_1_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q4_k_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q5_0_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q5_1_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q5_k_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_moe_q6_k_f32_ns.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_noshuffle_q5_0_f32.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/gemv_noshuffle_q5_1_f32.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/get_rows.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mm_q5_0_f32_l4_lm.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mm_q5_1_f32_l4_lm.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mv_f16_f32_l4.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mv_q5_0_f32.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mv_q5_0_f32_flat.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mv_q5_1_f32.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mv_q5_1_f32_flat.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-opencl/kernels/mul_mv_q6_k_f32_flat.cl,OpenCL,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-quants.c,CPU / ggml core,REFRESH,yes,,,,yes,Shared ggml registry/dispatch: preserve ROCmFPX type behavior while rebasing onto current upstream.
ggml/src/ggml-quants.h,CPU / ggml core,REFRESH,yes,yes,,,,Shared ggml registry/dispatch: preserve ROCmFPX type behavior while rebasing onto current upstream.
ggml/src/ggml-vulkan/ggml-vulkan.cpp,Vulkan kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/copy_to_quant.comp,Vulkan kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/dequant_funcs.glsl,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/dequant_funcs_cm2.glsl,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/dequant_rocmfpx_fp6.comp,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/flash_attn_dequant.glsl,Vulkan kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/flash_attn_mmq_funcs.glsl,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/flash_attn_mmq_v_funcs.glsl,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/mul_mat_vec.comp,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/mul_mat_vecq_funcs.glsl,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/mul_mm_funcs.glsl,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/types.glsl,Vulkan kernels,REFRESH,yes,yes,,,yes,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-vulkan/vulkan-shaders/vulkan-shaders-gen.cpp,Vulkan kernels,REFRESH,yes,yes,,,,Shared backend file: start from current upstream and re-port only ROCmFPX type/kernels and validated Strix tuning.
ggml/src/ggml-webgpu/CMakeLists.txt,WebGPU,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-webgpu/ggml-webgpu-shader-lib.hpp,WebGPU,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-webgpu/ggml-webgpu.cpp,WebGPU,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
ggml/src/ggml-webgpu/pre_wgsl.hpp,WebGPU,RETIRE,no,yes,,,,Imported backend snapshot; replace wholesale with current upstream and re-add only tested ROCmFPX hooks if required.
