commit	parents	author_date	author	subject
5044107becc80af940386cf6f5234abd4955816e	8b9fa2e68b28c2dac9a67ebeb86bfd1d563f36e0	2026-06-01T20:23:15-04:00	fewtarius <fewtarius@steamfork.org>	detect: add CPU ISA auto-detection for cmake build flags
43d781ac08636b4531214816b6c89df9f50afcb3	5044107becc80af940386cf6f5234abd4955816e	2026-06-01T20:38:04-04:00	fewtarius <fewtarius@steamfork.org>	ssd-cache: add kernel readahead for cold checkpoint prefetch
1ffbac42a424aa32065a628d4ad548b7443ffef9	43d781ac08636b4531214816b6c89df9f50afcb3	2026-06-01T20:53:36-04:00	fewtarius <fewtarius@steamfork.org>	feat: add MoE expert activation tracking API (Phase 1)
b69de84971815ba49a7dc57b062633f8c4369c9b	1ffbac42a424aa32065a628d4ad548b7443ffef9	2026-06-01T21:27:08-04:00	fewtarius <fewtarius@steamfork.org>	feat(server): add MoE expert activation tracking API
d9bbcfa423332348373125456dd57650dfaffa23	b69de84971815ba49a7dc57b062633f8c4369c9b	2026-06-03T20:30:03-04:00	fewtarius <fewtarius@steamfork.org>	feat(server): add --cache-ssd-hot-ram and --cache-ssd-warm-ram CLI flags
4b1c2b659ad0ebe51676e5a685d681759326a0b0	d9bbcfa423332348373125456dd57650dfaffa23	2026-06-07T13:59:27Z	fewtarius <fewtarius@steamfork.org>	ui : relax engine-strict for Node 23 compatibility
cedeacccc7b7af3f96335e889d0df597380a8bbf	4b1c2b659ad0ebe51676e5a685d681759326a0b0	2026-06-10T19:49:23-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd-cache): set out_overlap for same-conversation cold-start matches
1c19480dafb6d705613d5492bdeaed015c8a89d9	cedeacccc7b7af3f96335e889d0df597380a8bbf	2026-06-11T11:57:41-04:00	fewtarius <fewtarius@steamfork.org>	fix(vulkan): auto-lower nodes_per_submit for APU/iGPU + GGML_VK_NODES_PER_SUBMIT override
56dca0825e1d0b3a4b5f00a1fc1e59f2c6a900f8	1c19480dafb6d705613d5492bdeaed015c8a89d9	2026-06-14T11:41:40-04:00	fewtarius <fewtarius@steamfork.org>	feat(ssd-cache): add global system prompt KV cache
cc60f89123cc5c800717bed1b9c5892d7aac12c4	56dca0825e1d0b3a4b5f00a1fc1e59f2c6a900f8	2026-06-14T12:02:09-04:00	fewtarius <fewtarius@steamfork.org>	feat(server): wire global system prompt KV cache into server lifecycle
70ceb7b141f0e875b24203186c5ea450e7d0c7c6	cc60f89123cc5c800717bed1b9c5892d7aac12c4	2026-06-14T13:55:39-04:00	fewtarius <fewtarius@steamfork.org>	fix(server): enable system prompt cache for hybrid models
926f343fa655f620b380468a34483c80c4f38855	70ceb7b141f0e875b24203186c5ea450e7d0c7c6	2026-06-14T16:14:05-04:00	fewtarius <fewtarius@steamfork.org>	fix(server): align sys_cache compat hash with page_manager
55935cfcb965af3c85b511cf173a21391428c5b9	926f343fa655f620b380468a34483c80c4f38855	2026-06-14T18:55:44-04:00	fewtarius <fewtarius@steamfork.org>	docs: rebrand README as CachyLLama
521db2771dd5ca3876ca5a94517e4d0f428fa999	55935cfcb965af3c85b511cf173a21391428c5b9	2026-06-20T16:48:41-04:00	fewtarius <fewtarius@steamfork.org>	fix(boundary): detect system prompt boundary for GLM/Gemma templates
96937d47c799787c37e855d4a0befe863395ab01	521db2771dd5ca3876ca5a94517e4d0f428fa999	2026-06-25T17:15:28-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): defer final checkpoint to after first token
835013b3927b552dde508e440acaeedab1501bea	96937d47c799787c37e855d4a0befe863395ab01	2026-06-26T18:34:38-04:00	fewtarius <fewtarius@steamfork.org>	feat(ssd): system prompt cache + hybrid model warm restart fixes
9b06c5a95da4cf340fe43da558ef5e14cbcaeaa3	835013b3927b552dde508e440acaeedab1501bea	2026-06-27T04:49:14-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): extend seq_rm_attn_only guard to in-memory checkpoint restores
83af232aad85daa62175ba6220c1200f67089b8a	9b06c5a95da4cf340fe43da558ef5e14cbcaeaa3	2026-06-27T10:25:13-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): restore cold-start max_n_tokens guard lost in rebase
b782fb8749a318ca1c154a6e0e918923bcb6a171	83af232aad85daa62175ba6220c1200f67089b8a	2026-06-17T08:39:09-04:00	fewtarius <fewtarius@steamfork.org>	build(macos): fix CachyLLama build on macOS
85a0c11e12fb17eb3329b0636b3f87bb1ff85cb7	b782fb8749a318ca1c154a6e0e918923bcb6a171	2026-06-28T02:44:21+02:00	Asad Ali Bhatti <asadali.bhatti@smartly.io>	fix(ssd): save/restore MTP ctx_dft and pending_h across cold-start restarts
a461a1fcebafa2a90ad635ba749c5a1ae1c4be8d	85a0c11e12fb17eb3329b0636b3f87bb1ff85cb7	2026-06-28T06:59:58+02:00	Asad Ali Bhatti <asadali.bhatti@smartly.io>	fix(ssd): restore KV cells under current slot's seq_id on cross-slot restore
5ff23cdf339d58cf8e1a0a1f629dd9151b53c71d	a461a1fcebafa2a90ad635ba749c5a1ae1c4be8d	2026-06-28T12:09:07-04:00	fewtarius <fewtarius@steamfork.org>	perf(rocm): apply RDNA3.5 Strix Halo tuning from gaetan-puleo
6fa9d40d2b0c0f76d1532d0a47b5fb293fd1a923	5ff23cdf339d58cf8e1a0a1f629dd9151b53c71d 8c146a8366304c871efc26057cc90370ccf58dad	2026-06-29T07:47:58-04:00	fewtarius <fewtarius@steamfork.org>	merge: upstream/master into CachyLLama
dffcd625ddbe79ca50893a3df8c857dd1d6db89b	6fa9d40d2b0c0f76d1532d0a47b5fb293fd1a923	2026-06-29T21:01:04-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): restore system prompt cache init lost in rebase
602bf12df5e5770b06055fdbb9485c769d2d70ec	dffcd625ddbe79ca50893a3df8c857dd1d6db89b	2026-06-30T04:07:46-04:00	fewtarius <fewtarius@steamfork.org>	fix(server): restore per-user isolation and hybrid safety lost in rebase
ef67a59ca62b3cd7ce3c281bcb461a345b8235f0	602bf12df5e5770b06055fdbb9485c769d2d70ec	2026-06-30T06:04:30-04:00	fewtarius <fewtarius@steamfork.org>	server: fix n_past not set after SSD cold-start restore for hybrid models
de62cdfbd5def9104a396975b0679eb90fd23f5e	ef67a59ca62b3cd7ce3c281bcb461a345b8235f0	2026-06-30T06:34:29-04:00	fewtarius <fewtarius@steamfork.org>	fix(server): system prompt cache save/load flag mismatch and slot context guard
a4e459ef06995e1f7bb882be80e53485ff734a17	de62cdfbd5def9104a396975b0679eb90fd23f5e	2026-06-30T19:14:10-04:00	fewtarius <fewtarius@steamfork.org>	feat(ssd): add --cache-ssd-no-fsync flag for async checkpoint writes
4db9548a8c421da633e1124b4d4110b82306803e	a4e459ef06995e1f7bb882be80e53485ff734a17	2026-07-03T09:53:19-04:00	fewtarius <fewtarius@steamfork.org>	fix(kv-cache): disable shift/cache-reuse for IMROPE models (n_pos_per_embd > 1)
7b9afec660efb3c485413c65d41c3cfa356df3df	4db9548a8c421da633e1124b4d4110b82306803e	2026-07-04T10:07:07-04:00	3rd Iteration <steve@cryptoguide.tips>	ci(vulkan): add Windows x64 Vulkan build with artifacts (#1)
abe63a5a13f602f9695e9d87422033e64066330d	4db9548a8c421da633e1124b4d4110b82306803e 665892536dfb1b7532161e3182304bd35c33e768	2026-07-04T13:03:33-04:00	fewtarius <fewtarius@steamfork.org>	merge: upstream/master into CachyLLama
a2b13f5ab98766a168ec5f4a97ad5f37a82c5c66	7b9afec660efb3c485413c65d41c3cfa356df3df	2026-07-04T14:34:19-04:00	3rd Iteration <steve@cryptoguide.tips>	fix: Linux CI build fixes (#2)
16f335b532d843740398d0305f15664708cd0f6c	a2b13f5ab98766a168ec5f4a97ad5f37a82c5c66 abe63a5a13f602f9695e9d87422033e64066330d	2026-07-04T14:34:40-04:00	3rd Iteration <stevekr@gmail.com>	Merge branch 'fewtarius:master' into master
25af3038cedf762e17fabe5dc661ba89a832a379	abe63a5a13f602f9695e9d87422033e64066330d 16f335b532d843740398d0305f15664708cd0f6c	2026-07-04T19:52:28-04:00	fewtarius <88717793+fewtarius@users.noreply.github.com>	Merge pull request #1 from 3rdIteration/master
8b2cf6c668a886a9e5bb3519c926b67484db2593	25af3038cedf762e17fabe5dc661ba89a832a379	2026-07-05T15:02:06-04:00	3rd Iteration <steve@cryptoguide.tips>	Make SSD error messages more descriptive and fix large context failure (#3)
3162f61556118aa5097c72b8250ca130ad54580e	25af3038cedf762e17fabe5dc661ba89a832a379	2026-07-05T20:35:27Z	Mark <mgalyan@gmail.com>	server: persist context checkpoints in a sidecar file for slot save/restore
bce3f53fd9e799d4ce2fe80b00583f68bd915f30	3162f61556118aa5097c72b8250ca130ad54580e	2026-07-05T22:38:18-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): deferred checkpoint skipped for dense models on short prompts
749af3119940c93fc65c098fa963f4e2f0f2ef72	bce3f53fd9e799d4ce2fe80b00583f68bd915f30 8b2cf6c668a886a9e5bb3519c926b67484db2593	2026-07-06T06:55:42-04:00	fewtarius <88717793+fewtarius@users.noreply.github.com>	Merge pull request #2 from 3rdIteration/master
9d28796fd5c87dce5827f4b75a5118e1ac50ce40	749af3119940c93fc65c098fa963f4e2f0f2ef72	2026-07-06T06:59:40-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): fix thread safety, hex format portability, and POSIX log noise
2f1fc4b12d7303e3814453e29a13efaf9b7f001a	9d28796fd5c87dce5827f4b75a5118e1ac50ce40	2026-07-07T19:25:55-04:00	fewtarius <fewtarius@steamfork.org>	server: add probe logging to do_reset/LCP path
024dff234d40871771926c6b152b0fa8d19d9dfe	2f1fc4b12d7303e3814453e29a13efaf9b7f001a	2026-07-07T19:52:50-04:00	fewtarius <fewtarius@steamfork.org>	fix(server): evict highest-pos_min checkpoint instead of insertion-oldest
c8ead677a7fe42fb0a67e6e866fb254cc338e9fd	024dff234d40871771926c6b152b0fa8d19d9dfe	2026-07-08T17:21:17-04:00	fewtarius <fewtarius@steamfork.org>	fix(ssd): pass dest_seq_id on continuation path (part 2 of cross-slot restore fix)
6be745998f568e379ea197fcf827baec73ff9940	c8ead677a7fe42fb0a67e6e866fb254cc338e9fd 92366df30d4eaa4b85139b5fd694360237731b19	2026-07-08T19:31:51-04:00	fewtarius <fewtarius@steamfork.org>	Merge upstream/master: 61 commits (server: SSD checkpoint fix, eviction, SSE ping, /responses timings, prompt cache RAM limit, HTTP CLI, schema validation, UI context gauge, MCP, OpenCL/SYCL/Vulkan backends)
