id,category,feature,behavior,implementation_files,source_repositories,source_commits,dependencies,license,maturity,evidence,evidence_urls,decision,portability,target_overlap,rationale,risks,confidence
F-011,Persistent SSD-backed KV cache,Per-user cache namespace,Places explicit-user caches under a user-oriented namespace distinct from anonymous conversation roots.,tools/server/server-context-page-manager.cpp | common/kv-ssd-cache.h,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,validated user ID | filesystem namespace,MIT,M1,E-061 | E-080 | E-081,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp,REDESIGN,High,"ROCmFPX's current run directory is process-private, not tenant-addressed.",Use an authenticated tenant ID and opaque keyed hash in the path; never trust a request field as the authorization boundary.,"Path disclosure, user-supplied identity spoofing, and owner-wide file permissions.",High
F-012,Persistent SSD-backed KV cache,On-disk permission model,Creates cache directories and state files using conventional shared-readable modes in the component path.,common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,filesystem permissions | deployment umask,MIT,M1,E-041,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,REJECT,High,ROCmFPX's existing disk cache uses owner-only namespaces and files.,Do not import CachyLlama's permission choices; keep ROCmFPX's 0700/0600 posture and add optional encryption for persistent multi-tenant use.,Prompts and hidden reasoning can be secrets.,High
F-013,Persistent SSD-backed KV cache,Direct final-name checkpoint writes,Writes checkpoint payloads directly to their final paths and removes them on detected failure.,common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,filesystem write | optional fsync,MIT,M1,E-034,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,REJECT,High,"ROCmFPX already uses temporary files, atomic rename, and directory synchronization.",Keep the target's commit protocol; persistent mode should add a manifest transaction rather than regress to direct publication.,Power loss can leave a final-name partial file.,High
F-014,Persistent SSD-backed KV cache,POSIX I/O compatibility shim,"Centralizes open, pread, pwrite, fsync, unlink, and advisory behavior.",common/kv-ssd-posix.h,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,POSIX | platform conditional compilation,MIT,M2,E-033,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h,RETAIN,Medium,ROCmFPX supports cross-platform server builds and has its own filesystem code.,"Port only useful abstractions, preserving Windows UTF-8 and fault-injection behavior in the target.",A POSIX-named layer is not sufficient for Windows portability.,High
F-015,Persistent SSD-backed KV cache,Persistent index reconstruction,Scans checkpoint files and restores cache metadata when no live process index exists.,common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,directory scan | metadata decoder | format version,MIT,M2,E-031 | E-040,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h,REDESIGN,High,ROCmFPX current entries exist only in process memory and are deleted on exit.,Use a checksummed manifest plus orphan reconciliation; bound startup cost and quarantine malformed entries.,Unbounded directory scans and corrupted metadata can delay startup.,High
F-016,System-prompt caching,Cross-conversation system-state reuse,Stores a system-prefix sequence state independently of a conversation so requests sharing the same system prompt can skip repeated prefill.,common/kv-ssd-system-cache.h | common/kv-ssd-system-cache.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,system boundary detector | sequence-state API | model compatibility hash,MIT,M2,E-050 | E-052 | E-055,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REDESIGN,High,ROCmFPX has general prompt-prefix caching but no separately governed persistent system-prefix store.,"Implement as a scoped prefix-cache class in the target engine, keyed by model/template/tenant/system token sequence.",Cross-tenant leakage and false boundary detection are high-impact.,High
F-017,System-prompt caching,Restart persistence for system prefixes,Scans sys-{hash}.bin entries and restores their state into an in-memory catalog at startup.,common/kv-ssd-system-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,persistent files | startup scan | RAM catalog,MIT,M2,E-051,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,REDESIGN,High,ROCmFPX's cache is run-scoped.,Use the same versioned persistent manifest and atomic commit layer as conversation checkpoints.,Startup memory cost scales with stored system entries because state blobs are loaded into RAM.,High
F-018,System-prompt caching,Entry-count and age retention,Expires system cache entries after a configured unused-day limit and evicts LRU entries above a maximum count.,common/kv-ssd-system-cache.h | common/kv-ssd-system-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,wall clock | LRU metadata | filesystem delete,MIT,M2,E-050 | E-053,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,RETAIN,High,ROCmFPX already has byte-bounded LRU mechanics.,"Combine age, byte, and count limits; expose tenant and global quotas.",Wall-clock changes and large state variance require conservative accounting.,High
F-019,System-prompt caching,Full-prompt hash plus bounded token prefix,Keys a system entry by a full prompt hash and records a bounded token prefix and compatibility metadata.,common/kv-ssd-system-cache.h | common/kv-ssd-system-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,stable tokenization | hash function | compatibility fingerprint,MIT,M2,E-050 | E-052,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,RETAIN,High,ROCmFPX can reuse its token vectors and target/draft validation.,Use a cryptographic or collision-resistant content key over canonical tokens and include template/model/tenant scope.,Hash collisions or tokenization drift must fail closed.,High
F-020,System-prompt caching,Heuristic system-boundary detection,Decodes token text and searches for user/human/end-of-generation markers to decide where the reusable system prefix ends.,common/kv-ssd-system-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,token decoder | chat template conventions,MIT,M1,E-054,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,REJECT,High,ROCmFPX supports multiple chat templates and structured request conversion.,"Derive the boundary from the parsed message/template AST before tokenization, then verify the exact token range.",Heuristics can cache user content as a shared system prefix.,High
F-021,Prefix matching and session continuation,Longest-common-prefix candidate scoring,"Compares incoming tokens with stored checkpoint prefixes and ranks by longest common prefix, recency, and checkpoint length.",common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,stored token prefixes | token equality,MIT,M2,E-035,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,RETAIN,High,ROCmFPX already performs LCP matching for RAM and disk prompt cache entries.,Consolidate around the target implementation and add restart-persistent index candidates.,Minimum acceptance and exact state boundary rules must remain caller-specific.,High
F-022,Prefix matching and session continuation,High-threshold cross-conversation continuation,Requires approximately 90% token-prefix similarity before restoring another conversation's checkpoint.,tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,LCP score | conversation index,MIT,M2,E-062,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp,REDESIGN,Medium,ROCmFPX prompt caching already matches prefixes within the running server.,Make threshold configurable by scope; require authenticated tenant equality and a minimum absolute token count.,A ratio alone is unsafe for short prompts.,High
F-023,Prefix matching and session continuation,Global anonymous continuation scan,Searches anonymous cache directories for a stored prompt that can continue a new conversation.,common/kv-ssd-cache.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,directory enumeration | token-prefix metadata,MIT,M1,E-036 | E-062,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp,REDESIGN,High,ROCmFPX does not retain cross-run directories.,Replace global scanning with a manifest/index partitioned by model and authenticated tenant; anonymous reuse should default to process-local only.,Cross-user data reuse and unbounded I/O.,High
F-024,Prefix matching and session continuation,Minimum compared-token guard,Rejects very small continuation comparisons before treating them as a useful session match.,common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,token count,MIT,M2,E-036,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,RETAIN,Medium,ROCmFPX can apply this in its candidate filter.,"Use both minimum absolute tokens and ratio thresholds, with higher requirements for cross-conversation or cross-restart matches.",Fixed thresholds may be model/template dependent.,High
F-025,Prefix matching and session continuation,Slot prompt similarity,Uses a configurable slot-prompt similarity threshold to choose a warm slot with a reusable prefix.,tools/server/server-context.cpp | common/arg.cpp | llama-run.sh,fewtarius/CachyLLama | fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722 | 6be745998f568e379ea197fcf827baec73ff9940,live slot prompts | LCP score,MIT for component; GPL-3.0 for parent profile,M3,E-005 | E-023 | E-082,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,ROCmFPX inherits llama.cpp slot prompt reuse.,Keep target behavior; document interaction with persistent cache and user affinity.,Affinity and prefix reuse must be evaluated under one authorization-aware selection policy.,High
F-026,Prefix matching and session continuation,Read-ahead of likely continuation,Prefetches the selected checkpoint so restore latency can overlap request preparation.,common/kv-ssd-cache.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,candidate prediction | OS page cache,MIT,M2,E-042 | E-062,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp,RETAIN,Medium,No target equivalent was identified.,Add only after persistence and candidate correctness are tested; instrument useful-prefetch ratio.,Can amplify SSD writes/reads and page-cache churn.,High
F-027,Checkpoint restore and hybrid state,Periodic prefill checkpoints,Creates checkpoints at configured token intervals while processing long prompts.,common/common.h | common/arg.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,llama sequence state API | checkpoint interval | prompt token progress,MIT,M2,E-022 | E-023 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,ROCmFPX already has context checkpoint controls and prompt-cache saves.,Keep target checkpoint scheduling and integrate persistent snapshots as a separate policy.,Source and documentation disagree on the minimum/default step; very frequent snapshots can dominate I/O.,High
F-028,Checkpoint restore and hybrid state,Deferred final checkpoint,Marks a final checkpoint for creation after the first generated token so the restored state has the needed generation boundary.,tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,slot state machine | generation boundary,MIT,M2,E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,Medium,ROCmFPX has prompt-cache saves at task boundaries.,"Preserve the semantic boundary, but express it as an explicit checkpoint reason/state in the target.",Ordering bugs can persist a state that cannot resume generation correctly.,High
F-029,Checkpoint restore and hybrid state,Target/draft/spec checkpoint restore,"Restores target state, optional draft state, and speculative state into a selected slot.",tools/server/server-context-page-manager.cpp | tools/server/server-context-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,llama_state_seq_set_data_ext | draft context | spec state decoder,MIT,M2,E-063 | E-067 | E-068,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h,RETAIN,High,ROCmFPX already stores target/draft and stateful MTP records.,Merge semantics into the target's paired-state validation and exact-boundary rules.,A draft/spec mismatch must force safe catch-up or full prefill.,High
F-030,Checkpoint restore and hybrid state,Destination sequence-ID remapping,Loads a serialized sequence into the currently assigned server slot rather than assuming the source slot ID.,include/llama.h | tools/server/server-context-page-manager.cpp | tools/server/server-context-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940 | c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,extended sequence state API | destination slot,MIT,M2,E-063 | E-068 | E-070,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h | https://github.com/fewtarius/CachyLLama/commit/c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,RETAIN,High,The target uses per-slot sequence state APIs.,Keep explicit destination sequence IDs in every restore API and add a regression test based on the historical cold-restore fix.,Implicit source IDs can restore into the wrong sequence.,High
F-031,Checkpoint restore and hybrid state,Hybrid attention-only cleanup,Clears attention KV state while preserving recurrent state for hybrid/recurrent models.,include/llama.h | src/llama-memory-hybrid.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,hybrid memory implementation | model architecture detection,MIT,M2,E-068 | E-069 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/src/llama-memory-hybrid.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,ROCmFPX includes MTP and evolving recurrent/hybrid support.,Retain the primitive only if the target base does not already contain an equivalent; validate per architecture.,Incorrect partial clearing can silently corrupt recurrent continuation.,High
F-032,Checkpoint restore and hybrid state,Manual slot save/restore/erase,Exposes named slot-state files through an HTTP action route when a slot-save path is configured.,tools/server/server-context.cpp | tools/server/server.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,slot save directory | filename validation | HTTP server,MIT,M3,E-090 | E-091,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,ROCmFPX inherits the slot-state API family.,"Keep the endpoint but enforce owner-only directories, API authorization, quotas, and audit logs.",Named files are an administrative surface separate from automatic cache persistence.,High
F-033,Checkpoint restore and hybrid state,Cold-restore failure fallback,Treats failed or incomplete restores as misses and continues through normal prompt processing.,tools/server/server-context-ssd-cache.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,restore validation | normal prefill path,MIT,M2,E-067 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,ROCmFPX tests corruption and partial target/draft pairs.,Use the target's stricter file-size/pair validation and circuit-breaker semantics.,Fallback must clear any partially applied sequence state.,High
F-034,Checkpoint restore and hybrid state,In-memory prompt state cache,Maintains reusable prompt states in RAM in addition to SSD-backed checkpoints.,tools/server/server-context.cpp | common/common.h,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,host RAM budget | server prompt cache,MIT,M3,E-022 | E-071,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,ROCmFPX already has a byte-bounded RAM prompt cache.,Keep the target implementation as the first tier; persistent disk should be a lower tier.,"RAM accounting must include target, draft, and metadata.",High
F-035,Checkpoint restore and hybrid state,KV-shift cache reuse,Can reuse sufficiently large prompt chunks via KV shifting under the server cache-reuse setting.,common/arg.cpp | tools/server/README.md | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,KV shifting support | prompt cache,MIT,M3,E-023 | E-024,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md,RETAIN,Medium,ROCmFPX already documents and carries cache-reuse behavior.,Retain target-native behavior; test interactions with loaded persistent state and hybrid memory.,Not all memory types support arbitrary shifting.,High
F-036,Slot affinity and user isolation,OpenAI request user hint,Accepts llama_user_id in OpenAI-style request bodies and propagates it to task scheduling.,tools/server/server-task.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,JSON request parser | task metadata,MIT,M2,E-081 | E-082 | E-087,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md,REDESIGN,High,ROCmFPX has OpenAI-compatible endpoints but no verified authenticated tenant cache scope.,Accept a user hint only behind a trusted gateway; bind an internal tenant principal from API-key/JWT context.,Client-supplied identity is spoofable.,High
