id,repository,commit,path,locator,claim_supported,kind,caveat,url
E-036,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,find_continuation() and global directory scanner,Anonymous cache namespaces can be scanned for a continuation candidate based on stored token prefixes.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-037,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"tier transition, on_turn_complete(), and cold-ring eviction",Turn completion demotes older entries through hot/warm/cold tiers and enforces a cold-entry cap.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-038,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,compatibility hash check during load,Loads reject checkpoints whose model/cache compatibility fingerprint does not match.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-039,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,automatic hot/warm RAM budget calculation,Automatic tier budgets derive from reported free system RAM and an 85% allocation factor.,source,The Linux calculation uses sysinfo free RAM rather than MemAvailable/cgroup-aware pressure.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-040,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,format version and token-prefix metadata,"Checkpoint metadata carries a format version, model compatibility value, and up to 4096 prefix tokens.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
E-041,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,permissions used while creating cache directories and files,The cache uses conventional directory/file permissions rather than an owner-only tenant store.,source,The observed 0755/0644 style is not sufficient for secrets-bearing multi-tenant persistence.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-042,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,prefetch/read-ahead path,The cache can issue platform read-ahead hints before a likely restore.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-050,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.h,"kv_ssd_system_cache_config, entry metadata, public API",A separate persistent system-prompt cache is defined with bounded entries and retention.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.h
E-051,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,init scan and sys-{hash}.bin load,System-prompt entries are rediscovered from disk and loaded into RAM at startup.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
E-052,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,save/load keying and compatibility checks,System-prompt state is keyed by a prompt hash and guarded by compatibility metadata.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
E-053,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,expiration and LRU enforcement,Expired entries and least-recently-used entries are pruned according to age and count limits.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
E-054,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-system-cache.cpp,detect_system_prompt_boundary() token-text heuristic,System-prompt boundaries are inferred by decoding token text and searching for user/human/EOG markers.,source,The chat-template hint is not used to perform structural parsing; this is heuristic.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp
E-055,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,system cache initialization and lookup/store integration,llama-server invokes the system cache during request processing.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-060,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.h,server_context_page_manager API and wrapper maps,The server page manager coordinates per-conversation and per-user persistent cache instances.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h
E-061,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"get_or_create_cache(), anonymous and user namespace routing",Anonymous conversations and explicit users are routed to different directory namespaces.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
E-062,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,find_continuation_match() and 0.90 threshold,The server accepts cross-conversation continuation only when the stored prefix reaches the configured high similarity threshold.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
E-063,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"store_checkpoint/load_checkpoint target, draft, and spec state","Checkpoint records can restore target, draft, and speculative state into a destination slot.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
E-064,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,get_stats() and on_turn_complete() map iteration,The pinned aggregation and turn-completion paths iterate anonymous maps but omit the corresponding user maps.,source,This is an implementation gap found by source inspection.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
E-065,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,max-conversation enforcement and oldest-directory deletion,The manager removes an old cache directory when its conversation limit is reached.,source,Anonymous and user collections are managed separately rather than under one shared quota.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
E-066,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.h,server_context_ssd_cache adapter API,The server adapter converts llama sequence state into cache blobs and back.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.h
E-067,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.cpp,"save/restore target, draft, and speculative components",The adapter serializes and restores target/draft/spec components and reports partial failures.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp
E-068,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,include/llama.h,llama_state_seq_*_ext and llama_memory_seq_rm_attn_only declarations,The component exposes extended per-sequence state serialization and attention-only removal primitives.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
E-069,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,src/llama-memory-hybrid.cpp,attention-only sequence removal implementation,Hybrid/recurrent model restoration can clear attention state without discarding recurrent state.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/src/llama-memory-hybrid.cpp
E-070,fewtarius/CachyLLama,c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,(commit),cold continuation destination-sequence fix,A post-feature fix corrected cold continuation restoration into the selected destination sequence.,history,"Recent corrective history is evidence of active maturation, not stability.",https://github.com/fewtarius/CachyLLama/commit/c8ead677a7fe42fb0a67e6e866fb254cc338e9fd
E-071,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot fields and persistent-cache restore/store call sites,"Slots track cold-start restore use, conversation hash, user identity, and checkpoint timing.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-072,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv_page_manager.h,standalone page-manager public API and tier constants,A second asynchronous page-manager prototype exists outside the server integration.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv_page_manager.h
E-073,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv_page_manager.cpp,prototype implementation,The standalone page manager has worker/writeback code but is separate from the active server path.,source,Its comments describe GiB-scale defaults while literals are MiB-scale.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv_page_manager.cpp
E-074,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,test_kv_page_manager.cpp,standalone test driver,A standalone test source exercises page-manager concepts.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/test_kv_page_manager.cpp
E-075,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/CMakeLists.txt,absence of kv_page_manager.cpp from common sources,The standalone page-manager implementation is not linked into the common library.,source,Absence is established by comparing the file with the pinned source list.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/CMakeLists.txt
E-080,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,docs/development/user-isolation-design.md,"request mapping, namespace, validation, concurrency, precedence","The design specifies request user identifiers, per-user namespaces, slot affinity, and concurrency limits.",design,Design claims must be reconciled with the implementation evidence below.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md
E-081,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,request parsing and validate_user_id(),OpenAI-style requests accept llama_user_id; Anthropic conversion supplies metadata.user_id; identifiers are validated.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
E-082,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,slot allocator per-user cap check and same-user affinity,The slot allocator checks active counts for non-empty user IDs and prefers a least-recently-used slot already associated with that user.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-083,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,HTTP admission check for max_concurrent_per_user,HTTP admission performs an early per-user cap check for non-empty user IDs.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-084,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,comment and conditional excluding empty user IDs,Anonymous requests are limited only by the global slot count in the pinned implementation.,source,This contradicts the README/design statement that an anonymous bucket receives the same per-user cap.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-085,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,active-user increment/decrement and slot release,Active-user counters are updated only for non-empty identities and decremented on slot release.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-086,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,log messages containing user_id,Scheduling and rate-limit logs include raw user identifiers.,source,Raw tenant identifiers should be redacted or hashed in shared observability.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-087,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/README.md,llama_user_id and Anthropic metadata.user_id examples,The documented API surfaces the user identifier as request metadata rather than a credential.,documentation,It does not authenticate or cryptographically bind the supplied identity.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
E-090,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,HTTP route registrations,"llama-server registers health, metrics, properties, generation, embeddings, rerank, tokenization, LoRA, expert, slot, model, and stream routes.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
E-091,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,post_slots route and save/restore/erase handlers,"Slot state can be saved, restored, or erased through an HTTP route when slot persistence is enabled.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-092,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,get_metrics route and Prometheus rendering,"The metrics endpoint reports prompt/generation counters, rates, queue depth, and slot utilization.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-093,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-task.cpp,task timing and cache-token result serialization,Completion results expose cached prompt tokens and prompt/generation timing statistics.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp
E-094,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-models.cpp,server_models load/unload/autoload/LRU child process management,"Router mode manages model child processes, autoload, maximum active models, and LRU unloading.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp
E-095,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-models.cpp,"router route handlers for /models, /models/load, /models/unload, /models/sse",Router model lifecycle is exposed through JSON and SSE APIs.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp
E-096,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,router-mode warning,The server labels router mode experimental and warns against untrusted exposure.,runtime-warning,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
E-097,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,resumable stream route registration,"Resumable stream lookup, retrieval, and deletion routes are registered.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
E-098,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-stream.h,session manager and conversation identity interfaces,A session manager tracks resumable stream output by conversation identity.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-stream.h
E-099,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-stream.cpp,"ring buffer, lookup, deletion, and garbage collection",Streaming output is retained in a bounded session structure for reconnect/continuation.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-stream.cpp
E-100,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,LoRA and expert-stat route registrations,LoRA hot-swap and MoE expert observation/control endpoints are exposed.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
E-101,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,LoRA route handlers,The server can enumerate and apply LoRA adapters without restarting the process.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-102,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server.cpp,"OpenAI, Responses, Anthropic, embeddings, rerank, and transcription routes",The server offers several compatibility APIs beyond the legacy completion endpoint.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp
E-103,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,"API key, TLS, metrics, slots, model-router arguments","Authentication keys, TLS files, observability endpoints, slots, and router limits are configurable.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
E-104,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context.cpp,get_health and get_props handlers,Health is available during load/sleep; properties expose model and server capability metadata.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp
E-105,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-models.cpp,child process environment and reserved-argument filtering,Router children receive rendered presets while sensitive/router-owned options are withheld.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp
E-106,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-models.cpp,model preset reload and SSE notification,Model definitions can be reloaded and lifecycle changes are broadcast by SSE.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp
E-110,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,STRIX_HALO_NOTES.md,"goal, environment, accepted/rejected experiments, validation, benchmark tables","The fork records Strix Halo gfx1151 tuning experiments, correctness runs, and benchmark caveats.",engineering-notes,"Several entries describe local or historical builds, not the exact clean pin.",https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/STRIX_HALO_NOTES.md
